,Year-Month-Date,Time,Holiday,Watt
0,2016-04-01,[ 00:00 ],0,330
1,2016-04-01,[ 00:01 ],0,331
2,2016-04-01,[ 00:02 ],0,333
3,2016-04-01,[ 00:03 ],0,331
4,2016-04-01,[ 00:04 ],0,334
5,2016-04-01,[ 00:05 ],0,332
6,2016-04-01,[ 00:06 ],0,330
7,2016-04-01,[ 00:07 ],0,330
8,2016-04-01,[ 00:08 ],0,328
9,2016-04-01,[ 00:09 ],0,327
10,2016-04-01,[ 00:10 ],0,327
11,2016-04-01,[ 00:11 ],0,328
12,2016-04-01,[ 00:12 ],0,330
13,2016-04-01,[ 00:13 ],0,333
14,2016-04-01,[ 00:14 ],0,330
15,2016-04-01,[ 00:15 ],0,330
16,2016-04-01,[ 00:16 ],0,330
17,2016-04-01,[ 00:17 ],0,328
18,2016-04-01,[ 00:18 ],0,331
19,2016-04-01,[ 00:19 ],0,328
20,2016-04-01,[ 00:20 ],0,327
21,2016-04-01,[ 00:21 ],0,327
22,2016-04-01,[ 00:22 ],0,331
23,2016-04-01,[ 00:23 ],0,335
24,2016-04-01,[ 00:24 ],0,331
25,2016-04-01,[ 00:25 ],0,328
26,2016-04-01,[ 00:26 ],0,328
27,2016-04-01,[ 00:27 ],0,326
28,2016-04-01,[ 00:28 ],0,324
29,2016-04-01,[ 00:29 ],0,322
30,2016-04-01,[ 00:30 ],0,258
31,2016-04-01,[ 00:31 ],0,257
32,2016-04-01,[ 00:32 ],0,257
33,2016-04-01,[ 00:33 ],0,251
34,2016-04-01,[ 00:34 ],0,249
35,2016-04-01,[ 00:35 ],0,248
36,2016-04-01,[ 00:36 ],0,250
37,2016-04-01,[ 00:37 ],0,250
38,2016-04-01,[ 00:38 ],0,250
39,2016-04-01,[ 00:39 ],0,249
40,2016-04-01,[ 00:40 ],0,248
41,2016-04-01,[ 00:41 ],0,249
42,2016-04-01,[ 00:42 ],0,250
43,2016-04-01,[ 00:43 ],0,248
44,2016-04-01,[ 00:44 ],0,250
45,2016-04-01,[ 00:45 ],0,250
46,2016-04-01,[ 00:46 ],0,249
47,2016-04-01,[ 00:47 ],0,249
48,2016-04-01,[ 00:48 ],0,250
49,2016-04-01,[ 00:49 ],0,249
50,2016-04-01,[ 00:50 ],0,250
51,2016-04-01,[ 00:51 ],0,249
52,2016-04-01,[ 00:52 ],0,248
53,2016-04-01,[ 00:53 ],0,249
54,2016-04-01,[ 00:54 ],0,249
55,2016-04-01,[ 00:55 ],0,249
56,2016-04-01,[ 00:56 ],0,253
57,2016-04-01,[ 00:57 ],0,251
58,2016-04-01,[ 00:58 ],0,259
59,2016-04-01,[ 00:59 ],0,260
60,2016-04-01,[ 01:00 ],0,251
61,2016-04-01,[ 01:01 ],0,250
62,2016-04-01,[ 01:02 ],0,252
63,2016-04-01,[ 01:03 ],0,252
64,2016-04-01,[ 01:04 ],0,250
65,2016-04-01,[ 01:05 ],0,265
66,2016-04-01,[ 01:06 ],0,249
67,2016-04-01,[ 01:07 ],0,249
68,2016-04-01,[ 01:08 ],0,250
69,2016-04-01,[ 01:09 ],0,249
70,2016-04-01,[ 01:10 ],0,249
71,2016-04-01,[ 01:11 ],0,250
72,2016-04-01,[ 01:12 ],0,250
