,Year-Month-Date,Time,Holiday,Watt
0,2014-10-01,[ 00:00 ],0,203
1,2014-10-01,[ 00:01 ],0,201
2,2014-10-01,[ 00:02 ],0,202
3,2014-10-01,[ 00:03 ],0,202
4,2014-10-01,[ 00:04 ],0,202
5,2014-10-01,[ 00:05 ],0,201
6,2014-10-01,[ 00:06 ],0,199
7,2014-10-01,[ 00:07 ],0,200
8,2014-10-01,[ 00:08 ],0,966
9,2014-10-01,[ 00:09 ],0,280
10,2014-10-01,[ 00:10 ],0,261
11,2014-10-01,[ 00:11 ],0,262
12,2014-10-01,[ 00:12 ],0,262
13,2014-10-01,[ 00:13 ],0,259
14,2014-10-01,[ 00:14 ],0,264
15,2014-10-01,[ 00:15 ],0,262
16,2014-10-01,[ 00:16 ],0,265
17,2014-10-01,[ 00:17 ],0,261
18,2014-10-01,[ 00:18 ],0,261
19,2014-10-01,[ 00:19 ],0,262
20,2014-10-01,[ 00:20 ],0,261
21,2014-10-01,[ 00:21 ],0,264
22,2014-10-01,[ 00:22 ],0,262
23,2014-10-01,[ 00:23 ],0,261
24,2014-10-01,[ 00:24 ],0,262
25,2014-10-01,[ 00:25 ],0,264
26,2014-10-01,[ 00:26 ],0,260
27,2014-10-01,[ 00:27 ],0,259
28,2014-10-01,[ 00:28 ],0,262
29,2014-10-01,[ 00:29 ],0,261
30,2014-10-01,[ 00:30 ],0,261
31,2014-10-01,[ 00:31 ],0,260
32,2014-10-01,[ 00:32 ],0,260
33,2014-10-01,[ 00:33 ],0,260
34,2014-10-01,[ 00:34 ],0,262
35,2014-10-01,[ 00:35 ],0,261
36,2014-10-01,[ 00:36 ],0,264
37,2014-10-01,[ 00:37 ],0,260
38,2014-10-01,[ 00:38 ],0,260
39,2014-10-01,[ 00:39 ],0,260
40,2014-10-01,[ 00:40 ],0,261
41,2014-10-01,[ 00:41 ],0,262
42,2014-10-01,[ 00:42 ],0,267
43,2014-10-01,[ 00:43 ],0,267
44,2014-10-01,[ 00:44 ],0,266
45,2014-10-01,[ 00:45 ],0,261
46,2014-10-01,[ 00:46 ],0,262
47,2014-10-01,[ 00:47 ],0,264
48,2014-10-01,[ 00:48 ],0,262
49,2014-10-01,[ 00:49 ],0,259
50,2014-10-01,[ 00:50 ],0,258
51,2014-10-01,[ 00:51 ],0,260
52,2014-10-01,[ 00:52 ],0,259
53,2014-10-01,[ 00:53 ],0,257
54,2014-10-01,[ 00:54 ],0,256
55,2014-10-01,[ 00:55 ],0,253
56,2014-10-01,[ 00:56 ],0,256
57,2014-10-01,[ 00:57 ],0,254
58,2014-10-01,[ 00:58 ],0,256
59,2014-10-01,[ 00:59 ],0,253
60,2014-10-01,[ 01:00 ],0,257
61,2014-10-01,[ 01:01 ],0,253
62,2014-10-01,[ 01:02 ],0,253
63,2014-10-01,[ 01:03 ],0,257
64,2014-10-01,[ 01:04 ],0,256
65,2014-10-01,[ 01:05 ],0,252
66,2014-10-01,[ 01:06 ],0,252
67,2014-10-01,[ 01:07 ],0,250
68,2014-10-01,[ 01:08 ],0,194
69,2014-10-01,[ 01:09 ],0,194
70,2014-10-01,[ 01:10 ],0,191
71,2014-10-01,[ 01:11 ],0,196
72,2014-10-01,[ 01:12 ],0,196
73,2014-10-01,[ 01:13 ],0,200
74,2014-10-01,[ 01:14 ],0,195
75,2014-10-01,[ 01:15 ],0,194
76,2014-10-01,[ 01:16 ],0,191
77,2014-10-01,[ 01:17 ],0,193
78,2014-10-01,[ 01:18 ],0,195
79,2014-10-01,[ 01:19 ],0,192
80,2014-10-01,[ 01:20 ],0,195
81,2014-10-01,[ 01:21 ],0,195
82,2014-10-01,[ 01:22 ],0,191
83,2014-10-01,[ 01:23 ],0,194
84,2014-10-01,[ 01:24 ],0,194
85,2014-10-01,[ 01:25 ],0,192
86,2014-10-01,[ 01:26 ],0,193
87,2014-10-01,[ 01:27 ],0,195
88,2014-10-01,[ 01:28 ],0,193
89,2014-10-01,[ 01:29 ],0,193
90,2014-10-01,[ 01:30 ],0,193
91,2014-10-01,[ 01:31 ],0,193
92,2014-10-01,[ 01:32 ],0,193
