,Year-Month-Date,Time,Holiday,Watt
0,2016-09-01,[ 00:00 ],0,170
1,2016-09-01,[ 00:01 ],0,165
2,2016-09-01,[ 00:02 ],0,167
3,2016-09-01,[ 00:03 ],0,166
4,2016-09-01,[ 00:04 ],0,166
5,2016-09-01,[ 00:05 ],0,167
6,2016-09-01,[ 00:06 ],0,163
7,2016-09-01,[ 00:07 ],0,163
8,2016-09-01,[ 00:08 ],0,163
9,2016-09-01,[ 00:09 ],0,163
10,2016-09-01,[ 00:10 ],0,163
11,2016-09-01,[ 00:11 ],0,162
12,2016-09-01,[ 00:12 ],0,163
13,2016-09-01,[ 00:13 ],0,219
14,2016-09-01,[ 00:14 ],0,213
15,2016-09-01,[ 00:15 ],0,211
16,2016-09-01,[ 00:16 ],0,163
17,2016-09-01,[ 00:17 ],0,163
18,2016-09-01,[ 00:18 ],0,163
19,2016-09-01,[ 00:19 ],0,235
20,2016-09-01,[ 00:20 ],0,228
21,2016-09-01,[ 00:21 ],0,221
22,2016-09-01,[ 00:22 ],0,223
23,2016-09-01,[ 00:23 ],0,219
24,2016-09-01,[ 00:24 ],0,222
25,2016-09-01,[ 00:25 ],0,221
26,2016-09-01,[ 00:26 ],0,219
27,2016-09-01,[ 00:27 ],0,217
28,2016-09-01,[ 00:28 ],0,217
29,2016-09-01,[ 00:29 ],0,218
30,2016-09-01,[ 00:30 ],0,218
31,2016-09-01,[ 00:31 ],0,163
32,2016-09-01,[ 00:32 ],0,161
33,2016-09-01,[ 00:33 ],0,160
34,2016-09-01,[ 00:34 ],0,161
35,2016-09-01,[ 00:35 ],0,161
36,2016-09-01,[ 00:36 ],0,160
37,2016-09-01,[ 00:37 ],0,160
38,2016-09-01,[ 00:38 ],0,160
39,2016-09-01,[ 00:39 ],0,161
40,2016-09-01,[ 00:40 ],0,161
41,2016-09-01,[ 00:41 ],0,160
42,2016-09-01,[ 00:42 ],0,159
43,2016-09-01,[ 00:43 ],0,159
44,2016-09-01,[ 00:44 ],0,160
45,2016-09-01,[ 00:45 ],0,159
46,2016-09-01,[ 00:46 ],0,232
47,2016-09-01,[ 00:47 ],0,217
48,2016-09-01,[ 00:48 ],0,218
49,2016-09-01,[ 00:49 ],0,219
50,2016-09-01,[ 00:50 ],0,219
51,2016-09-01,[ 00:51 ],0,222
52,2016-09-01,[ 00:52 ],0,222
53,2016-09-01,[ 00:53 ],0,222
54,2016-09-01,[ 00:54 ],0,219
55,2016-09-01,[ 00:55 ],0,218
56,2016-09-01,[ 00:56 ],0,218
57,2016-09-01,[ 00:57 ],0,218
58,2016-09-01,[ 00:58 ],0,219
59,2016-09-01,[ 00:59 ],0,218
60,2016-09-01,[ 01:00 ],0,221
61,2016-09-01,[ 01:01 ],0,222
62,2016-09-01,[ 01:02 ],0,219
63,2016-09-01,[ 01:03 ],0,222
64,2016-09-01,[ 01:04 ],0,223
65,2016-09-01,[ 01:05 ],0,221
66,2016-09-01,[ 01:06 ],0,221
67,2016-09-01,[ 01:07 ],0,221
68,2016-09-01,[ 01:08 ],0,219
69,2016-09-01,[ 01:09 ],0,219
70,2016-09-01,[ 01:10 ],0,219
71,2016-09-01,[ 01:11 ],0,221
72,2016-09-01,[ 01:12 ],0,218
73,2016-09-01,[ 01:13 ],0,221
74,2016-09-01,[ 01:14 ],0,223
75,2016-09-01,[ 01:15 ],0,221
76,2016-09-01,[ 01:16 ],0,218
77,2016-09-01,[ 01:17 ],0,161
78,2016-09-01,[ 01:18 ],0,161
79,2016-09-01,[ 01:19 ],0,161
80,2016-09-01,[ 01:20 ],0,163
81,2016-09-01,[ 01:21 ],0,162
82,2016-09-01,[ 01:22 ],0,161
83,2016-09-01,[ 01:23 ],0,162
84,2016-09-01,[ 01:24 ],0,163
85,2016-09-01,[ 01:25 ],0,163
86,2016-09-01,[ 01:26 ],0,163
87,2016-09-01,[ 01:27 ],0,161
88,2016-09-01,[ 01:28 ],0,161
89,2016-09-01,[ 01:29 ],0,161
90,2016-09-01,[ 01:30 ],0,162
91,2016-09-01,[ 01:31 ],0,162
92,2016-09-01,[ 01:32 ],0,161
93,2016-09-01,[ 01:33 ],0,161
94,2016-09-01,[ 01:34 ],0,161
95,2016-09-01,[ 01:35 ],0,161
96,2016-09-01,[ 01:36 ],0,161
97,2016-09-01,[ 01:37 ],0,161
98,2016-09-01,[ 01:38 ],0,163
99,2016-09-01,[ 01:39 ],0,162
100,2016-09-01,[ 01:40 ],0,162
101,2016-09-01,[ 01:41 ],0,161
102,2016-09-01,[ 01:42 ],0,160
103,2016-09-01,[ 01:43 ],0,160
104,2016-09-01,[ 01:44 ],0,160
105,2016-09-01,[ 01:45 ],0,160
106,2016-09-01,[ 01:46 ],0,161
107,2016-09-01,[ 01:47 ],0,161
108,2016-09-01,[ 01:48 ],0,160
109,2016-09-01,[ 01:49 ],0,159
110,2016-09-01,[ 01:50 ],0,160
111,2016-09-01,[ 01:51 ],0,160
112,2016-09-01,[ 01:52 ],0,161
113,2016-09-01,[ 01:53 ],0,160
114,2016-09-01,[ 01:54 ],0,159
115,2016-09-01,[ 01:55 ],0,160
116,2016-09-01,[ 01:56 ],0,161
117,2016-09-01,[ 01:57 ],0,159
118,2016-09-01,[ 01:58 ],0,158
119,2016-09-01,[ 01:59 ],0,227
120,2016-09-01,[ 02:00 ],0,227
121,2016-09-01,[ 02:01 ],0,222
122,2016-09-01,[ 02:02 ],0,222
123,2016-09-01,[ 02:03 ],0,221
124,2016-09-01,[ 02:04 ],0,219
125,2016-09-01,[ 02:05 ],0,217
126,2016-09-01,[ 02:06 ],0,216
127,2016-09-01,[ 02:07 ],0,215
128,2016-09-01,[ 02:08 ],0,214
129,2016-09-01,[ 02:09 ],0,214
130,2016-09-01,[ 02:10 ],0,214
131,2016-09-01,[ 02:11 ],0,161
132,2016-09-01,[ 02:12 ],0,159
133,2016-09-01,[ 02:13 ],0,161
134,2016-09-01,[ 02:14 ],0,160
135,2016-09-01,[ 02:15 ],0,161
136,2016-09-01,[ 02:16 ],0,160
137,2016-09-01,[ 02:17 ],0,160
138,2016-09-01,[ 02:18 ],0,160
139,2016-09-01,[ 02:19 ],0,160
140,2016-09-01,[ 02:20 ],0,161
141,2016-09-01,[ 02:21 ],0,160
142,2016-09-01,[ 02:22 ],0,161
143,2016-09-01,[ 02:23 ],0,160
144,2016-09-01,[ 02:24 ],0,161
145,2016-09-01,[ 02:25 ],0,160
146,2016-09-01,[ 02:26 ],0,160
147,2016-09-01,[ 02:27 ],0,160
148,2016-09-01,[ 02:28 ],0,160
149,2016-09-01,[ 02:29 ],0,160
150,2016-09-01,[ 02:30 ],0,160
151,2016-09-01,[ 02:31 ],0,160
152,2016-09-01,[ 02:32 ],0,161
153,2016-09-01,[ 02:33 ],0,161
154,2016-09-01,[ 02:34 ],0,160
155,2016-09-01,[ 02:35 ],0,161
156,2016-09-01,[ 02:36 ],0,160
157,2016-09-01,[ 02:37 ],0,161
158,2016-09-01,[ 02:38 ],0,225
159,2016-09-01,[ 02:39 ],0,219
160,2016-09-01,[ 02:40 ],0,217
161,2016-09-01,[ 02:41 ],0,219
162,2016-09-01,[ 02:42 ],0,219
163,2016-09-01,[ 02:43 ],0,224
164,2016-09-01,[ 02:44 ],0,221
165,2016-09-01,[ 02:45 ],0,219
166,2016-09-01,[ 02:46 ],0,218
167,2016-09-01,[ 02:47 ],0,217
168,2016-09-01,[ 02:48 ],0,217
169,2016-09-01,[ 02:49 ],0,218
