,Year-Month-Date,Time,Holiday,Watt
0,2014-11-01,[ 00:00 ],1,202
1,2014-11-01,[ 00:01 ],1,203
2,2014-11-01,[ 00:02 ],1,200
3,2014-11-01,[ 00:03 ],1,199
4,2014-11-01,[ 00:04 ],1,199
5,2014-11-01,[ 00:05 ],1,195
6,2014-11-01,[ 00:06 ],1,196
7,2014-11-01,[ 00:07 ],1,195
8,2014-11-01,[ 00:08 ],1,148
9,2014-11-01,[ 00:09 ],1,149
10,2014-11-01,[ 00:10 ],1,149
11,2014-11-01,[ 00:11 ],1,149
12,2014-11-01,[ 00:12 ],1,148
13,2014-11-01,[ 00:13 ],1,149
14,2014-11-01,[ 00:14 ],1,146
15,2014-11-01,[ 00:15 ],1,149
16,2014-11-01,[ 00:16 ],1,149
17,2014-11-01,[ 00:17 ],1,148
18,2014-11-01,[ 00:18 ],1,148
19,2014-11-01,[ 00:19 ],1,146
20,2014-11-01,[ 00:20 ],1,148
21,2014-11-01,[ 00:21 ],1,145
22,2014-11-01,[ 00:22 ],1,147
23,2014-11-01,[ 00:23 ],1,148
24,2014-11-01,[ 00:24 ],1,148
25,2014-11-01,[ 00:25 ],1,146
26,2014-11-01,[ 00:26 ],1,205
27,2014-11-01,[ 00:27 ],1,203
28,2014-11-01,[ 00:28 ],1,196
29,2014-11-01,[ 00:29 ],1,200
30,2014-11-01,[ 00:30 ],1,204
31,2014-11-01,[ 00:31 ],1,204
32,2014-11-01,[ 00:32 ],1,203
33,2014-11-01,[ 00:33 ],1,204
34,2014-11-01,[ 00:34 ],1,203
35,2014-11-01,[ 00:35 ],1,204
36,2014-11-01,[ 00:36 ],1,204
37,2014-11-01,[ 00:37 ],1,200
38,2014-11-01,[ 00:38 ],1,200
39,2014-11-01,[ 00:39 ],1,203
40,2014-11-01,[ 00:40 ],1,204
41,2014-11-01,[ 00:41 ],1,202
42,2014-11-01,[ 00:42 ],1,203
43,2014-11-01,[ 00:43 ],1,202
44,2014-11-01,[ 00:44 ],1,201
45,2014-11-01,[ 00:45 ],1,203
46,2014-11-01,[ 00:46 ],1,203
47,2014-11-01,[ 00:47 ],1,204
48,2014-11-01,[ 00:48 ],1,204
49,2014-11-01,[ 00:49 ],1,202
50,2014-11-01,[ 00:50 ],1,196
51,2014-11-01,[ 00:51 ],1,195
52,2014-11-01,[ 00:52 ],1,195
53,2014-11-01,[ 00:53 ],1,195
54,2014-11-01,[ 00:54 ],1,191
55,2014-11-01,[ 00:55 ],1,149
56,2014-11-01,[ 00:56 ],1,147
57,2014-11-01,[ 00:57 ],1,148
58,2014-11-01,[ 00:58 ],1,148
59,2014-11-01,[ 00:59 ],1,149
60,2014-11-01,[ 01:00 ],1,149
61,2014-11-01,[ 01:01 ],1,149
62,2014-11-01,[ 01:02 ],1,149
63,2014-11-01,[ 01:03 ],1,150
64,2014-11-01,[ 01:04 ],1,149
65,2014-11-01,[ 01:05 ],1,149
66,2014-11-01,[ 01:06 ],1,148
67,2014-11-01,[ 01:07 ],1,147
68,2014-11-01,[ 01:08 ],1,147
69,2014-11-01,[ 01:09 ],1,147
70,2014-11-01,[ 01:10 ],1,149
71,2014-11-01,[ 01:11 ],1,146
72,2014-11-01,[ 01:12 ],1,147
73,2014-11-01,[ 01:13 ],1,149
74,2014-11-01,[ 01:14 ],1,148
75,2014-11-01,[ 01:15 ],1,148
76,2014-11-01,[ 01:16 ],1,149
77,2014-11-01,[ 01:17 ],1,148
78,2014-11-01,[ 01:18 ],1,148
79,2014-11-01,[ 01:19 ],1,146
80,2014-11-01,[ 01:20 ],1,148
81,2014-11-01,[ 01:21 ],1,146
82,2014-11-01,[ 01:22 ],1,146
83,2014-11-01,[ 01:23 ],1,146
84,2014-11-01,[ 01:24 ],1,144
85,2014-11-01,[ 01:25 ],1,146
86,2014-11-01,[ 01:26 ],1,145
87,2014-11-01,[ 01:27 ],1,146
88,2014-11-01,[ 01:28 ],1,146
89,2014-11-01,[ 01:29 ],1,146
90,2014-11-01,[ 01:30 ],1,149
91,2014-11-01,[ 01:31 ],1,149
92,2014-11-01,[ 01:32 ],1,148
93,2014-11-01,[ 01:33 ],1,148
94,2014-11-01,[ 01:34 ],1,149
95,2014-11-01,[ 01:35 ],1,149
96,2014-11-01,[ 01:36 ],1,147
97,2014-11-01,[ 01:37 ],1,148
98,2014-11-01,[ 01:38 ],1,207
99,2014-11-01,[ 01:39 ],1,206
100,2014-11-01,[ 01:40 ],1,202
101,2014-11-01,[ 01:41 ],1,199
102,2014-11-01,[ 01:42 ],1,200
103,2014-11-01,[ 01:43 ],1,199
104,2014-11-01,[ 01:44 ],1,195
105,2014-11-01,[ 01:45 ],1,199
106,2014-11-01,[ 01:46 ],1,195
107,2014-11-01,[ 01:47 ],1,193
108,2014-11-01,[ 01:48 ],1,195
109,2014-11-01,[ 01:49 ],1,196
110,2014-11-01,[ 01:50 ],1,149
111,2014-11-01,[ 01:51 ],1,149
112,2014-11-01,[ 01:52 ],1,146
113,2014-11-01,[ 01:53 ],1,146
114,2014-11-01,[ 01:54 ],1,149
115,2014-11-01,[ 01:55 ],1,148
116,2014-11-01,[ 01:56 ],1,147
117,2014-11-01,[ 01:57 ],1,148
