,Year-Month-Date,Time,Holiday,Watt
0,2013-12-01,[ 00:00 ],1,310
1,2013-12-01,[ 00:01 ],1,309
2,2013-12-01,[ 00:02 ],1,309
3,2013-12-01,[ 00:03 ],1,309
4,2013-12-01,[ 00:04 ],1,312
5,2013-12-01,[ 00:05 ],1,307
6,2013-12-01,[ 00:06 ],1,305
7,2013-12-01,[ 00:07 ],1,307
8,2013-12-01,[ 00:08 ],1,328
9,2013-12-01,[ 00:09 ],1,311
10,2013-12-01,[ 00:10 ],1,307
11,2013-12-01,[ 00:11 ],1,302
12,2013-12-01,[ 00:12 ],1,304
13,2013-12-01,[ 00:13 ],1,300
14,2013-12-01,[ 00:14 ],1,299
15,2013-12-01,[ 00:15 ],1,298
16,2013-12-01,[ 00:16 ],1,234
17,2013-12-01,[ 00:17 ],1,234
18,2013-12-01,[ 00:18 ],1,236
19,2013-12-01,[ 00:19 ],1,235
20,2013-12-01,[ 00:20 ],1,235
21,2013-12-01,[ 00:21 ],1,235
22,2013-12-01,[ 00:22 ],1,236
23,2013-12-01,[ 00:23 ],1,236
24,2013-12-01,[ 00:24 ],1,236
25,2013-12-01,[ 00:25 ],1,236
26,2013-12-01,[ 00:26 ],1,229
27,2013-12-01,[ 00:27 ],1,236
28,2013-12-01,[ 00:28 ],1,232
29,2013-12-01,[ 00:29 ],1,235
30,2013-12-01,[ 00:30 ],1,234
31,2013-12-01,[ 00:31 ],1,234
32,2013-12-01,[ 00:32 ],1,232
33,2013-12-01,[ 00:33 ],1,234
34,2013-12-01,[ 00:34 ],1,229
35,2013-12-01,[ 00:35 ],1,239
36,2013-12-01,[ 00:36 ],1,239
37,2013-12-01,[ 00:37 ],1,238
38,2013-12-01,[ 00:38 ],1,243
39,2013-12-01,[ 00:39 ],1,246
40,2013-12-01,[ 00:40 ],1,243
41,2013-12-01,[ 00:41 ],1,229
42,2013-12-01,[ 00:42 ],1,231
43,2013-12-01,[ 00:43 ],1,229
44,2013-12-01,[ 00:44 ],1,229
45,2013-12-01,[ 00:45 ],1,239
46,2013-12-01,[ 00:46 ],1,227
47,2013-12-01,[ 00:47 ],1,231
48,2013-12-01,[ 00:48 ],1,247
49,2013-12-01,[ 00:49 ],1,234
50,2013-12-01,[ 00:50 ],1,235
51,2013-12-01,[ 00:51 ],1,231
52,2013-12-01,[ 00:52 ],1,232
53,2013-12-01,[ 00:53 ],1,231
54,2013-12-01,[ 00:54 ],1,228
55,2013-12-01,[ 00:55 ],1,229
56,2013-12-01,[ 00:56 ],1,227
57,2013-12-01,[ 00:57 ],1,229
58,2013-12-01,[ 00:58 ],1,228
59,2013-12-01,[ 00:59 ],1,307
60,2013-12-01,[ 01:00 ],1,297
61,2013-12-01,[ 01:01 ],1,300
62,2013-12-01,[ 01:02 ],1,299
63,2013-12-01,[ 01:03 ],1,295
64,2013-12-01,[ 01:04 ],1,294
65,2013-12-01,[ 01:05 ],1,295
66,2013-12-01,[ 01:06 ],1,293
67,2013-12-01,[ 01:07 ],1,288
68,2013-12-01,[ 01:08 ],1,291
69,2013-12-01,[ 01:09 ],1,289
70,2013-12-01,[ 01:10 ],1,289
71,2013-12-01,[ 01:11 ],1,223
72,2013-12-01,[ 01:12 ],1,224
73,2013-12-01,[ 01:13 ],1,224
74,2013-12-01,[ 01:14 ],1,223
75,2013-12-01,[ 01:15 ],1,224
76,2013-12-01,[ 01:16 ],1,223
77,2013-12-01,[ 01:17 ],1,225
78,2013-12-01,[ 01:18 ],1,224
79,2013-12-01,[ 01:19 ],1,225
80,2013-12-01,[ 01:20 ],1,223
81,2013-12-01,[ 01:21 ],1,227
82,2013-12-01,[ 01:22 ],1,223
83,2013-12-01,[ 01:23 ],1,222
84,2013-12-01,[ 01:24 ],1,223
85,2013-12-01,[ 01:25 ],1,224
86,2013-12-01,[ 01:26 ],1,222
87,2013-12-01,[ 01:27 ],1,221
88,2013-12-01,[ 01:28 ],1,224
89,2013-12-01,[ 01:29 ],1,222
90,2013-12-01,[ 01:30 ],1,225
91,2013-12-01,[ 01:31 ],1,224
92,2013-12-01,[ 01:32 ],1,224
93,2013-12-01,[ 01:33 ],1,222
