,Year-Month-Date,Time,Holiday,Watt
0,2013-10-01,[ 00:00 ],0,174
1,2013-10-01,[ 00:01 ],0,175
2,2013-10-01,[ 00:02 ],0,174
3,2013-10-01,[ 00:03 ],0,174
4,2013-10-01,[ 00:04 ],0,174
5,2013-10-01,[ 00:05 ],0,173
6,2013-10-01,[ 00:06 ],0,245
7,2013-10-01,[ 00:07 ],0,232
8,2013-10-01,[ 00:08 ],0,231
9,2013-10-01,[ 00:09 ],0,234
10,2013-10-01,[ 00:10 ],0,237
11,2013-10-01,[ 00:11 ],0,235
12,2013-10-01,[ 00:12 ],0,238
13,2013-10-01,[ 00:13 ],0,235
14,2013-10-01,[ 00:14 ],0,236
15,2013-10-01,[ 00:15 ],0,236
16,2013-10-01,[ 00:16 ],0,236
17,2013-10-01,[ 00:17 ],0,235
18,2013-10-01,[ 00:18 ],0,235
19,2013-10-01,[ 00:19 ],0,231
20,2013-10-01,[ 00:20 ],0,234
21,2013-10-01,[ 00:21 ],0,234
22,2013-10-01,[ 00:22 ],0,234
23,2013-10-01,[ 00:23 ],0,234
24,2013-10-01,[ 00:24 ],0,232
25,2013-10-01,[ 00:25 ],0,232
26,2013-10-01,[ 00:26 ],0,232
27,2013-10-01,[ 00:27 ],0,232
28,2013-10-01,[ 00:28 ],0,235
29,2013-10-01,[ 00:29 ],0,236
30,2013-10-01,[ 00:30 ],0,236
31,2013-10-01,[ 00:31 ],0,237
32,2013-10-01,[ 00:32 ],0,232
33,2013-10-01,[ 00:33 ],0,228
34,2013-10-01,[ 00:34 ],0,227
35,2013-10-01,[ 00:35 ],0,227
36,2013-10-01,[ 00:36 ],0,227
37,2013-10-01,[ 00:37 ],0,172
38,2013-10-01,[ 00:38 ],0,171
39,2013-10-01,[ 00:39 ],0,171
40,2013-10-01,[ 00:40 ],0,171
41,2013-10-01,[ 00:41 ],0,171
42,2013-10-01,[ 00:42 ],0,172
43,2013-10-01,[ 00:43 ],0,172
44,2013-10-01,[ 00:44 ],0,171
45,2013-10-01,[ 00:45 ],0,171
46,2013-10-01,[ 00:46 ],0,174
47,2013-10-01,[ 00:47 ],0,173
48,2013-10-01,[ 00:48 ],0,172
49,2013-10-01,[ 00:49 ],0,171
50,2013-10-01,[ 00:50 ],0,171
51,2013-10-01,[ 00:51 ],0,173
52,2013-10-01,[ 00:52 ],0,171
53,2013-10-01,[ 00:53 ],0,170
54,2013-10-01,[ 00:54 ],0,171
55,2013-10-01,[ 00:55 ],0,171
56,2013-10-01,[ 00:56 ],0,171
57,2013-10-01,[ 00:57 ],0,172
58,2013-10-01,[ 00:58 ],0,171
59,2013-10-01,[ 00:59 ],0,171
60,2013-10-01,[ 01:00 ],0,172
61,2013-10-01,[ 01:01 ],0,172
62,2013-10-01,[ 01:02 ],0,173
63,2013-10-01,[ 01:03 ],0,173
64,2013-10-01,[ 01:04 ],0,172
65,2013-10-01,[ 01:05 ],0,171
66,2013-10-01,[ 01:06 ],0,173
67,2013-10-01,[ 01:07 ],0,172
68,2013-10-01,[ 01:08 ],0,171
69,2013-10-01,[ 01:09 ],0,171
70,2013-10-01,[ 01:10 ],0,171
71,2013-10-01,[ 01:11 ],0,171
72,2013-10-01,[ 01:12 ],0,172
73,2013-10-01,[ 01:13 ],0,174
74,2013-10-01,[ 01:14 ],0,174
75,2013-10-01,[ 01:15 ],0,171
76,2013-10-01,[ 01:16 ],0,173
77,2013-10-01,[ 01:17 ],0,172
78,2013-10-01,[ 01:18 ],0,174
79,2013-10-01,[ 01:19 ],0,174
80,2013-10-01,[ 01:20 ],0,171
81,2013-10-01,[ 01:21 ],0,173
82,2013-10-01,[ 01:22 ],0,243
83,2013-10-01,[ 01:23 ],0,236
84,2013-10-01,[ 01:24 ],0,234
85,2013-10-01,[ 01:25 ],0,234
86,2013-10-01,[ 01:26 ],0,231
87,2013-10-01,[ 01:27 ],0,231
88,2013-10-01,[ 01:28 ],0,228
89,2013-10-01,[ 01:29 ],0,227
90,2013-10-01,[ 01:30 ],0,228
91,2013-10-01,[ 01:31 ],0,225
92,2013-10-01,[ 01:32 ],0,226
93,2013-10-01,[ 01:33 ],0,171
94,2013-10-01,[ 01:34 ],0,174
95,2013-10-01,[ 01:35 ],0,171
96,2013-10-01,[ 01:36 ],0,172
97,2013-10-01,[ 01:37 ],0,172
98,2013-10-01,[ 01:38 ],0,171
99,2013-10-01,[ 01:39 ],0,171
100,2013-10-01,[ 01:40 ],0,171
101,2013-10-01,[ 01:41 ],0,172
102,2013-10-01,[ 01:42 ],0,171
103,2013-10-01,[ 01:43 ],0,171
104,2013-10-01,[ 01:44 ],0,171
105,2013-10-01,[ 01:45 ],0,171
106,2013-10-01,[ 01:46 ],0,172
107,2013-10-01,[ 01:47 ],0,171
108,2013-10-01,[ 01:48 ],0,171
109,2013-10-01,[ 01:49 ],0,173
110,2013-10-01,[ 01:50 ],0,171
111,2013-10-01,[ 01:51 ],0,172
112,2013-10-01,[ 01:52 ],0,172
113,2013-10-01,[ 01:53 ],0,172
114,2013-10-01,[ 01:54 ],0,172
115,2013-10-01,[ 01:55 ],0,171
