,DateTime,Day,Holiday,Seq,Watt
0,2016년 5월 1일 - 0시,일,O,0,498
1,2016년 5월 1일 - 1시,일,O,1,380
2,2016년 5월 1일 - 2시,일,O,2,321
3,2016년 5월 1일 - 3시,일,O,3,393
4,2016년 5월 1일 - 4시,일,O,4,370
5,2016년 5월 1일 - 5시,일,O,5,248
6,2016년 5월 1일 - 6시,일,O,6,310
7,2016년 5월 1일 - 7시,일,O,7,4611
8,2016년 5월 1일 - 8시,일,O,8,401
9,2016년 5월 1일 - 9시,일,O,9,4778
10,2016년 5월 1일 - 10시,일,O,10,336
11,2016년 5월 1일 - 11시,일,O,11,2621
12,2016년 5월 1일 - 12시,일,O,12,714
13,2016년 5월 1일 - 13시,일,O,13,328
14,2016년 5월 1일 - 14시,일,O,14,346
15,2016년 5월 1일 - 15시,일,O,15,398
16,2016년 5월 1일 - 16시,일,O,16,393
17,2016년 5월 1일 - 17시,일,O,17,2842
18,2016년 5월 1일 - 18시,일,O,18,2721
19,2016년 5월 1일 - 19시,일,O,19,1056
20,2016년 5월 1일 - 20시,일,O,20,532
21,2016년 5월 1일 - 21시,일,O,21,690
22,2016년 5월 1일 - 22시,일,O,22,345
23,2016년 5월 1일 - 23시,일,O,23,1975
24,2016년 5월 2일 - 0시,월,O,0,387
25,2016년 5월 2일 - 1시,월,O,1,246
26,2016년 5월 2일 - 2시,월,O,2,240
27,2016년 5월 2일 - 3시,월,O,3,227
28,2016년 5월 2일 - 4시,월,O,4,301
29,2016년 5월 2일 - 5시,월,O,5,234
30,2016년 5월 2일 - 6시,월,O,6,237
31,2016년 5월 2일 - 7시,월,O,7,235
32,2016년 5월 2일 - 8시,월,O,8,4577
33,2016년 5월 2일 - 9시,월,O,9,1772
34,2016년 5월 2일 - 10시,월,O,10,2959
35,2016년 5월 2일 - 11시,월,O,11,2668
36,2016년 5월 2일 - 12시,월,O,12,425
37,2016년 5월 2일 - 13시,월,O,13,372
38,2016년 5월 2일 - 14시,월,O,14,498
39,2016년 5월 2일 - 15시,월,O,15,3026
40,2016년 5월 2일 - 16시,월,O,16,679
41,2016년 5월 2일 - 17시,월,O,17,1969
