,DateTime,Graph_Date,Day,Holiday,Seq,Watt
0,20161101,2016-11-01,화,0,0,242
1,20161101,2016-11-01,화,0,1,227
2,20161101,2016-11-01,화,0,2,231
3,20161101,2016-11-01,화,0,3,262
4,20161101,2016-11-01,화,0,4,372
5,20161101,2016-11-01,화,0,5,374
6,20161101,2016-11-01,화,0,6,242
7,20161101,2016-11-01,화,0,7,2846
8,20161101,2016-11-01,화,0,8,2815
9,20161101,2016-11-01,화,0,9,2784
10,20161101,2016-11-01,화,0,10,250
11,20161101,2016-11-01,화,0,11,2822
12,20161101,2016-11-01,화,0,12,3932
13,20161101,2016-11-01,화,0,13,363
14,20161101,2016-11-01,화,0,14,2893
15,20161101,2016-11-01,화,0,15,2769
16,20161101,2016-11-01,화,0,16,3393
17,20161101,2016-11-01,화,0,17,896
18,20161101,2016-11-01,화,0,18,2252
19,20161101,2016-11-01,화,0,19,2002
20,20161101,2016-11-01,화,0,20,655
21,20161101,2016-11-01,화,0,21,661
22,20161101,2016-11-01,화,0,22,696
23,20161101,2016-11-01,화,0,23,351
24,20161102,2016-11-02,수,0,0,328
25,20161102,2016-11-02,수,0,1,339
26,20161102,2016-11-02,수,0,2,258
27,20161102,2016-11-02,수,0,3,307
28,20161102,2016-11-02,수,0,4,332
29,20161102,2016-11-02,수,0,5,256
30,20161102,2016-11-02,수,0,6,287
31,20161102,2016-11-02,수,0,7,3693
32,20161102,2016-11-02,수,0,8,3007
33,20161102,2016-11-02,수,0,9,2974
34,20161102,2016-11-02,수,0,10,2981
35,20161102,2016-11-02,수,0,11,3145
36,20161102,2016-11-02,수,0,12,4660
37,20161102,2016-11-02,수,0,13,465
38,20161102,2016-11-02,수,0,14,2066
39,20161102,2016-11-02,수,0,15,444
40,20161102,2016-11-02,수,0,16,4894
41,20161102,2016-11-02,수,0,17,5000
42,20161102,2016-11-02,수,0,18,3521
43,20161102,2016-11-02,수,0,19,3198
44,20161102,2016-11-02,수,0,20,574
45,20161102,2016-11-02,수,0,21,544
46,20161102,2016-11-02,수,0,22,519
47,20161102,2016-11-02,수,0,23,328
48,20161103,2016-11-03,목,0,0,379
49,20161103,2016-11-03,목,0,1,382
50,20161103,2016-11-03,목,0,2,229
51,20161103,2016-11-03,목,0,3,239
52,20161103,2016-11-03,목,0,4,308
53,20161103,2016-11-03,목,0,5,262
54,20161103,2016-11-03,목,0,6,315
55,20161103,2016-11-03,목,0,7,2895
56,20161103,2016-11-03,목,0,8,4980
57,20161103,2016-11-03,목,0,9,2925
58,20161103,2016-11-03,목,0,10,3858
59,20161103,2016-11-03,목,0,11,3095
60,20161103,2016-11-03,목,0,12,3902
61,20161103,2016-11-03,목,0,13,2954
62,20161103,2016-11-03,목,0,14,3274
63,20161103,2016-11-03,목,0,15,498
64,20161103,2016-11-03,목,0,16,519
65,20161103,2016-11-03,목,0,17,2931
66,20161103,2016-11-03,목,0,18,3358
67,20161103,2016-11-03,목,0,19,3481
68,20161103,2016-11-03,목,0,20,616
69,20161103,2016-11-03,목,0,21,607
70,20161103,2016-11-03,목,0,22,2333
71,20161103,2016-11-03,목,0,23,573
72,20161104,2016-11-04,금,0,0,252
73,20161104,2016-11-04,금,0,1,241
74,20161104,2016-11-04,금,0,2,267
75,20161104,2016-11-04,금,0,3,246
76,20161104,2016-11-04,금,0,4,328
77,20161104,2016-11-04,금,0,5,271
78,20161104,2016-11-04,금,0,6,426
79,20161104,2016-11-04,금,0,7,3071
80,20161104,2016-11-04,금,0,8,2267
81,20161104,2016-11-04,금,0,9,2618
82,20161104,2016-11-04,금,0,10,383
83,20161104,2016-11-04,금,0,11,344
84,20161104,2016-11-04,금,0,12,3089
85,20161104,2016-11-04,금,0,13,1741
86,20161104,2016-11-04,금,0,14,2796
87,20161104,2016-11-04,금,0,15,404
88,20161104,2016-11-04,금,0,16,693
89,20161104,2016-11-04,금,0,17,1997
90,20161104,2016-11-04,금,0,18,444
91,20161104,2016-11-04,금,0,19,520
92,20161104,2016-11-04,금,0,20,878
93,20161104,2016-11-04,금,0,21,683
94,20161104,2016-11-04,금,0,22,621
95,20161104,2016-11-04,금,0,23,2807
96,20161105,2016-11-05,토,1,0,2568
97,20161105,2016-11-05,토,1,1,265
98,20161105,2016-11-05,토,1,2,262
99,20161105,2016-11-05,토,1,3,242
100,20161105,2016-11-05,토,1,4,1197
101,20161105,2016-11-05,토,1,5,276
102,20161105,2016-11-05,토,1,6,307
103,20161105,2016-11-05,토,1,7,330
104,20161105,2016-11-05,토,1,8,3743
105,20161105,2016-11-05,토,1,9,2901
106,20161105,2016-11-05,토,1,10,2799
107,20161105,2016-11-05,토,1,11,608
108,20161105,2016-11-05,토,1,12,310
109,20161105,2016-11-05,토,1,13,363
110,20161105,2016-11-05,토,1,14,281
111,20161105,2016-11-05,토,1,15,425
112,20161105,2016-11-05,토,1,16,5259
113,20161105,2016-11-05,토,1,17,2828
114,20161105,2016-11-05,토,1,18,614
115,20161105,2016-11-05,토,1,19,740
116,20161105,2016-11-05,토,1,20,661
117,20161105,2016-11-05,토,1,21,532
118,20161105,2016-11-05,토,1,22,654
119,20161105,2016-11-05,토,1,23,319
120,20161106,2016-11-06,일,1,0,249
121,20161106,2016-11-06,일,1,1,240
122,20161106,2016-11-06,일,1,2,380
123,20161106,2016-11-06,일,1,3,237
124,20161106,2016-11-06,일,1,4,316
125,20161106,2016-11-06,일,1,5,265
126,20161106,2016-11-06,일,1,6,300
127,20161106,2016-11-06,일,1,7,310
128,20161106,2016-11-06,일,1,8,4732
129,20161106,2016-11-06,일,1,9,4741
130,20161106,2016-11-06,일,1,10,2008
131,20161106,2016-11-06,일,1,11,833
132,20161106,2016-11-06,일,1,12,4568
133,20161106,2016-11-06,일,1,13,3121
134,20161106,2016-11-06,일,1,14,2996
135,20161106,2016-11-06,일,1,15,578
136,20161106,2016-11-06,일,1,16,629
137,20161106,2016-11-06,일,1,17,2075
138,20161106,2016-11-06,일,1,18,505
139,20161106,2016-11-06,일,1,19,552
140,20161106,2016-11-06,일,1,20,531
141,20161106,2016-11-06,일,1,21,700
142,20161106,2016-11-06,일,1,22,534
143,20161106,2016-11-06,일,1,23,2786
144,20161107,2016-11-07,월,0,0,2633
145,20161107,2016-11-07,월,0,1,250
146,20161107,2016-11-07,월,0,2,238
147,20161107,2016-11-07,월,0,3,372
148,20161107,2016-11-07,월,0,4,313
149,20161107,2016-11-07,월,0,5,265
150,20161107,2016-11-07,월,0,6,335
151,20161107,2016-11-07,월,0,7,2881
152,20161107,2016-11-07,월,0,8,661
153,20161107,2016-11-07,월,0,9,430
154,20161107,2016-11-07,월,0,10,856
155,20161107,2016-11-07,월,0,11,2921
156,20161107,2016-11-07,월,0,12,514
157,20161107,2016-11-07,월,0,13,424
158,20161107,2016-11-07,월,0,14,436
159,20161107,2016-11-07,월,0,15,3190
160,20161107,2016-11-07,월,0,16,871
161,20161107,2016-11-07,월,0,17,3424
162,20161107,2016-11-07,월,0,18,3339
163,20161107,2016-11-07,월,0,19,3461
164,20161107,2016-11-07,월,0,20,2355
165,20161107,2016-11-07,월,0,21,543
166,20161107,2016-11-07,월,0,22,500
167,20161107,2016-11-07,월,0,23,257
168,20161108,2016-11-08,화,0,0,240
