,DateTime,Graph_Date,Day,Holiday,Seq,Watt,Temp,CPI
0,20161001,2016-10-01,토,1,0,862,13.0,0.9
1,20161001,2016-10-01,토,1,1,235,13.0,0.9
2,20161001,2016-10-01,토,1,2,242,13.0,0.9
3,20161001,2016-10-01,토,1,3,241,13.0,0.9
4,20161001,2016-10-01,토,1,4,305,13.0,0.9
5,20161001,2016-10-01,토,1,5,239,13.0,0.9
6,20161001,2016-10-01,토,1,6,2669,12.5,0.9
7,20161001,2016-10-01,토,1,7,4743,12.0,0.9
8,20161001,2016-10-01,토,1,8,2973,14.0,0.9
9,20161001,2016-10-01,토,1,9,2932,14.0,0.9
10,20161001,2016-10-01,토,1,10,2909,14.0,0.9
11,20161001,2016-10-01,토,1,11,2881,13.0,0.9
12,20161001,2016-10-01,토,1,12,2962,13.0,0.9
13,20161001,2016-10-01,토,1,13,633,14.0,0.9
14,20161001,2016-10-01,토,1,14,2928,16.0,0.9
15,20161001,2016-10-01,토,1,15,5244,15.0,0.9
16,20161001,2016-10-01,토,1,16,2793,14.5,0.9
17,20161001,2016-10-01,토,1,17,3653,12.0,0.9
18,20161001,2016-10-01,토,1,18,2288,12.0,0.9
19,20161001,2016-10-01,토,1,19,2079,12.0,0.9
20,20161001,2016-10-01,토,1,20,543,12.0,0.9
21,20161001,2016-10-01,토,1,21,2611,12.0,0.9
22,20161001,2016-10-01,토,1,22,2635,11.0,0.9
23,20161001,2016-10-01,토,1,23,2560,11.0,0.9
24,20161002,2016-10-02,일,1,0,328,11.0,0.9
25,20161002,2016-10-02,일,1,1,248,11.0,0.9
26,20161002,2016-10-02,일,1,2,469,11.0,0.9
27,20161002,2016-10-02,일,1,3,284,11.0,0.9
28,20161002,2016-10-02,일,1,4,316,11.5,0.9
29,20161002,2016-10-02,일,1,5,294,11.5,0.9
30,20161002,2016-10-02,일,1,6,2790,11.0,0.9
31,20161002,2016-10-02,일,1,7,3915,11.0,0.9
32,20161002,2016-10-02,일,1,8,387,12.0,0.9
33,20161002,2016-10-02,일,1,9,568,12.5,0.9
34,20161002,2016-10-02,일,1,10,586,14.0,0.9
35,20161002,2016-10-02,일,1,11,3175,14.0,0.9
36,20161002,2016-10-02,일,1,12,2031,15.5,0.9
37,20161002,2016-10-02,일,1,13,471,16.0,0.9
38,20161002,2016-10-02,일,1,14,2881,16.0,0.9
39,20161002,2016-10-02,일,1,15,451,16.5,0.9
40,20161002,2016-10-02,일,1,16,3104,17.0,0.9
41,20161002,2016-10-02,일,1,17,736,16.0,0.9
42,20161002,2016-10-02,일,1,18,897,15.0,0.9
43,20161002,2016-10-02,일,1,19,2419,14.0,0.9
44,20161002,2016-10-02,일,1,20,682,13.5,0.9
45,20161002,2016-10-02,일,1,21,2749,12.5,0.9
46,20161002,2016-10-02,일,1,22,2813,12.5,0.9
47,20161002,2016-10-02,일,1,23,751,11.0,0.9
48,20161003,2016-10-03,월,0,0,324,11.0,0.9
49,20161003,2016-10-03,월,0,1,340,10.0,0.9
50,20161003,2016-10-03,월,0,2,434,10.0,0.9
51,20161003,2016-10-03,월,0,3,321,9.0,0.9
52,20161003,2016-10-03,월,0,4,391,9.0,0.9
