2016년 10월 1일 - 0시,0,862
2016년 10월 1일 - 1시,1,235
2016년 10월 1일 - 2시,2,242
2016년 10월 1일 - 3시,3,241
2016년 10월 1일 - 4시,4,305
2016년 10월 1일 - 5시,5,239
2016년 10월 1일 - 6시,6,2669
2016년 10월 1일 - 7시,7,4743
2016년 10월 1일 - 8시,8,2973
2016년 10월 1일 - 9시,9,2932
2016년 10월 1일 - 10시,10,2909
2016년 10월 1일 - 11시,11,2881
2016년 10월 1일 - 12시,12,2962
2016년 10월 1일 - 13시,13,633
2016년 10월 1일 - 14시,14,2928
2016년 10월 1일 - 15시,15,5244
2016년 10월 1일 - 16시,16,2793
2016년 10월 1일 - 17시,17,3653
2016년 10월 1일 - 18시,18,2288
2016년 10월 1일 - 19시,19,2079
2016년 10월 1일 - 20시,20,543
2016년 10월 1일 - 21시,21,2611
2016년 10월 1일 - 22시,22,2635
2016년 10월 1일 - 23시,23,2560
2016년 10월 2일 - 0시,0,328
2016년 10월 2일 - 1시,1,248
2016년 10월 2일 - 2시,2,469
2016년 10월 2일 - 3시,3,284
2016년 10월 2일 - 4시,4,316
2016년 10월 2일 - 5시,5,294
2016년 10월 2일 - 6시,6,2790
2016년 10월 2일 - 7시,7,3915
2016년 10월 2일 - 8시,8,387
2016년 10월 2일 - 9시,9,568
2016년 10월 2일 - 10시,10,586
2016년 10월 2일 - 11시,11,3175
2016년 10월 2일 - 12시,12,2031
2016년 10월 2일 - 13시,13,471
2016년 10월 2일 - 14시,14,2881
2016년 10월 2일 - 15시,15,451
2016년 10월 2일 - 16시,16,3104
2016년 10월 2일 - 17시,17,736
2016년 10월 2일 - 18시,18,897
2016년 10월 2일 - 19시,19,2419
2016년 10월 2일 - 20시,20,682
2016년 10월 2일 - 21시,21,2749
2016년 10월 2일 - 22시,22,2813
2016년 10월 2일 - 23시,23,751
2016년 10월 3일 - 0시,0,324
2016년 10월 3일 - 1시,1,340
2016년 10월 3일 - 2시,2,434
2016년 10월 3일 - 3시,3,321
2016년 10월 3일 - 4시,4,391
2016년 10월 3일 - 5시,5,321
2016년 10월 3일 - 6시,6,4811
2016년 10월 3일 - 7시,7,553
2016년 10월 3일 - 8시,8,702
2016년 10월 3일 - 9시,9,2315
2016년 10월 3일 - 10시,10,822
2016년 10월 3일 - 11시,11,514
2016년 10월 3일 - 12시,12,3197
2016년 10월 3일 - 13시,13,708
2016년 10월 3일 - 14시,14,414
2016년 10월 3일 - 15시,15,2052
2016년 10월 3일 - 16시,16,2996
2016년 10월 3일 - 17시,17,3018
2016년 10월 3일 - 18시,18,5095
2016년 10월 3일 - 19시,19,3004
2016년 10월 3일 - 20시,20,579
2016년 10월 3일 - 21시,21,599
2016년 10월 3일 - 22시,22,675
2016년 10월 3일 - 23시,23,334
2016년 10월 4일 - 0시,0,269
2016년 10월 4일 - 1시,1,267
2016년 10월 4일 - 2시,2,345
2016년 10월 4일 - 3시,3,262
2016년 10월 4일 - 4시,4,273
2016년 10월 4일 - 5시,5,273
2016년 10월 4일 - 6시,6,3740
2016년 10월 4일 - 7시,7,532
2016년 10월 4일 - 8시,8,3022
2016년 10월 4일 - 9시,9,3062
2016년 10월 4일 - 10시,10,5321
2016년 10월 4일 - 11시,11,709
2016년 10월 4일 - 12시,12,2147
2016년 10월 4일 - 13시,13,3300
2016년 10월 4일 - 14시,14,2783
2016년 10월 4일 - 15시,15,912
2016년 10월 4일 - 16시,16,3268
2016년 10월 4일 - 17시,17,1010
2016년 10월 4일 - 18시,18,2842
2016년 10월 4일 - 19시,19,488
2016년 10월 4일 - 20시,20,576
2016년 10월 4일 - 21시,21,509
2016년 10월 4일 - 22시,22,2792
2016년 10월 4일 - 23시,23,4676
2016년 10월 5일 - 0시,0,342
2016년 10월 5일 - 1시,1,257
2016년 10월 5일 - 2시,2,245
2016년 10월 5일 - 3시,3,966
2016년 10월 5일 - 4시,4,463
2016년 10월 5일 - 5시,5,715
2016년 10월 5일 - 6시,6,2762
2016년 10월 5일 - 7시,7,4537
2016년 10월 5일 - 8시,8,2948
