2013년 11월 1일 - 0시,0,214
2013년 11월 1일 - 1시,1,210
2013년 11월 1일 - 2시,2,213
2013년 11월 1일 - 3시,3,273
2013년 11월 1일 - 4시,4,277
2013년 11월 1일 - 5시,5,222
2013년 11월 1일 - 6시,6,287
2013년 11월 1일 - 7시,7,1629
2013년 11월 1일 - 8시,8,208
2013년 11월 1일 - 9시,9,218
2013년 11월 1일 - 10시,10,404
2013년 11월 1일 - 11시,11,305
2013년 11월 1일 - 12시,12,258
2013년 11월 1일 - 13시,13,212
2013년 11월 1일 - 14시,14,261
2013년 11월 1일 - 15시,15,224
2013년 11월 1일 - 16시,16,221
2013년 11월 1일 - 17시,17,276
2013년 11월 1일 - 18시,18,339
2013년 11월 1일 - 19시,19,215
2013년 11월 1일 - 20시,20,282
2013년 11월 1일 - 21시,21,495
2013년 11월 1일 - 22시,22,457
2013년 11월 1일 - 23시,23,491
2013년 11월 2일 - 0시,0,315
2013년 11월 2일 - 1시,1,377
2013년 11월 2일 - 2시,2,376
2013년 11월 2일 - 3시,3,221
2013년 11월 2일 - 4시,4,223
2013년 11월 2일 - 5시,5,243
2013년 11월 2일 - 6시,6,232
2013년 11월 2일 - 7시,7,228
2013년 11월 2일 - 8시,8,235
2013년 11월 2일 - 9시,9,257
2013년 11월 2일 - 10시,10,496
2013년 11월 2일 - 11시,11,390
2013년 11월 2일 - 12시,12,4261
2013년 11월 2일 - 13시,13,2716
2013년 11월 2일 - 14시,14,1839
2013년 11월 2일 - 15시,15,4644
2013년 11월 2일 - 16시,16,471
2013년 11월 2일 - 17시,17,2858
2013년 11월 2일 - 18시,18,2710
2013년 11월 2일 - 19시,19,2352
2013년 11월 2일 - 20시,20,4969
2013년 11월 2일 - 21시,21,2268
2013년 11월 2일 - 22시,22,1968
2013년 11월 2일 - 23시,23,475
2013년 11월 3일 - 0시,0,398
2013년 11월 3일 - 1시,1,282
2013년 11월 3일 - 2시,2,1310
2013년 11월 3일 - 3시,3,284
2013년 11월 3일 - 4시,4,228
2013년 11월 3일 - 5시,5,215
2013년 11월 3일 - 6시,6,892
2013년 11월 3일 - 7시,7,358
2013년 11월 3일 - 8시,8,210
2013년 11월 3일 - 9시,9,2625
2013년 11월 3일 - 10시,10,265
2013년 11월 3일 - 11시,11,280
2013년 11월 3일 - 12시,12,2688
2013년 11월 3일 - 13시,13,337
2013년 11월 3일 - 14시,14,2847
2013년 11월 3일 - 15시,15,2636
2013년 11월 3일 - 16시,16,935
2013년 11월 3일 - 17시,17,3905
2013년 11월 3일 - 18시,18,2077
2013년 11월 3일 - 19시,19,4194
2013년 11월 3일 - 20시,20,4177
2013년 11월 3일 - 21시,21,628
2013년 11월 3일 - 22시,22,695
2013년 11월 3일 - 23시,23,262
2013년 11월 4일 - 0시,0,315
2013년 11월 4일 - 1시,1,322
2013년 11월 4일 - 2시,2,256
2013년 11월 4일 - 3시,3,305
2013년 11월 4일 - 4시,4,242
2013년 11월 4일 - 5시,5,245
2013년 11월 4일 - 6시,6,413
2013년 11월 4일 - 7시,7,4678
2013년 11월 4일 - 8시,8,398
2013년 11월 4일 - 9시,9,285
2013년 11월 4일 - 10시,10,5080
2013년 11월 4일 - 11시,11,5030
2013년 11월 4일 - 12시,12,2915
2013년 11월 4일 - 13시,13,1453
2013년 11월 4일 - 14시,14,954
2013년 11월 4일 - 15시,15,1475
2013년 11월 4일 - 16시,16,2779
2013년 11월 4일 - 17시,17,2923
2013년 11월 4일 - 18시,18,2265
2013년 11월 4일 - 19시,19,735
