,DateTime,Seq,Temp,°C
0,2013-3-1,0,3.0,℃
1,2013-3-1,1,3.0,℃
2,2013-3-1,2,3.0,℃
3,2013-3-1,3,3.0,℃
4,2013-3-1,4,3.0,℃
5,2013-3-1,5,3.0,℃
6,2013-3-1,6,3.0,℃
7,2013-3-1,7,4.0,℃
8,2013-3-1,8,4.5,℃
9,2013-3-1,9,5.0,℃
10,2013-3-1,10,6.0,℃
11,2013-3-1,11,6.0,℃
12,2013-3-1,12,5.5,℃
13,2013-3-1,13,6.0,℃
14,2013-3-1,14,6.0,℃
15,2013-3-1,15,6.0,℃
16,2013-3-1,16,6.0,℃
17,2013-3-1,17,6.0,℃
18,2013-3-1,18,5.5,℃
19,2013-3-1,19,5.0,℃
20,2013-3-1,20,5.0,℃
21,2013-3-1,21,4.0,℃
22,2013-3-1,22,4.0,℃
23,2013-3-1,23,4.0,℃
24,2013-3-2,0,3.0,℃
25,2013-3-2,1,3.0,℃
26,2013-3-2,2,3.0,℃
27,2013-3-2,3,3.0,℃
28,2013-3-2,4,3.0,℃
29,2013-3-2,5,3.0,℃
30,2013-3-2,6,3.0,℃
31,2013-3-2,7,3.0,℃
32,2013-3-2,8,3.0,℃
33,2013-3-2,9,3.0,℃
34,2013-3-2,10,3.0,℃
35,2013-3-2,11,3.0,℃
36,2013-3-2,12,3.0,℃
37,2013-3-2,13,4.0,℃
38,2013-3-2,14,4.5,℃
39,2013-3-2,15,4.0,℃
40,2013-3-2,16,4.5,℃
41,2013-3-2,17,4.5,℃
42,2013-3-2,18,4.0,℃
43,2013-3-2,19,3.5,℃
44,2013-3-2,20,3.0,℃
45,2013-3-2,21,3.0,℃
46,2013-3-2,22,2.0,℃
47,2013-3-2,23,0.5,℃
48,2013-3-3,0,0.0,℃
49,2013-3-3,1,0.5,℃
50,2013-3-3,2,0.5,℃
51,2013-3-3,3,-0.5,℃
52,2013-3-3,4,0.0,℃
53,2013-3-3,5,-0.5,℃
54,2013-3-3,6,-0.5,℃
55,2013-3-3,7,0.0,℃
56,2013-3-3,8,1.0,℃
57,2013-3-3,9,2.5,℃
58,2013-3-3,10,3.5,℃
59,2013-3-3,11,5.0,℃
60,2013-3-3,12,6.0,℃
61,2013-3-3,13,7.0,℃
62,2013-3-3,14,7.5,℃
63,2013-3-3,15,8.0,℃
64,2013-3-3,16,7.0,℃
65,2013-3-3,17,5.5,℃
66,2013-3-3,18,4.5,℃
67,2013-3-3,19,4.0,℃
68,2013-3-3,20,4.0,℃
69,2013-3-3,21,4.0,℃
70,2013-3-3,22,4.0,℃
71,2013-3-3,23,3.5,℃
72,2013-3-4,0,3.0,℃
73,2013-3-4,1,3.0,℃
74,2013-3-4,2,2.5,℃
75,2013-3-4,3,2.0,℃
76,2013-3-4,4,2.0,℃
77,2013-3-4,5,2.0,℃
78,2013-3-4,6,2.0,℃
79,2013-3-4,7,2.0,℃
80,2013-3-4,8,2.5,℃
81,2013-3-4,9,3.0,℃
82,2013-3-4,10,4.5,℃
83,2013-3-4,11,6.5,℃
84,2013-3-4,12,7.0,℃
85,2013-3-4,13,7.5,℃
86,2013-3-4,14,8.0,℃
87,2013-3-4,15,7.0,℃
88,2013-3-4,16,6.5,℃
89,2013-3-4,17,5.5,℃
90,2013-3-4,18,4.5,℃
91,2013-3-4,19,4.0,℃
92,2013-3-4,20,4.0,℃
93,2013-3-4,21,3.0,℃
94,2013-3-4,22,3.0,℃
95,2013-3-4,23,2.5,℃
96,2013-3-5,0,2.0,℃
97,2013-3-5,1,2.0,℃
98,2013-3-5,2,2.0,℃
99,2013-3-5,3,1.0,℃
100,2013-3-5,4,2.0,℃
101,2013-3-5,5,2.0,℃
102,2013-3-5,6,2.0,℃
