2013년 8월 1일 - 0시,100
2013년 8월 1일 - 1시,462
2013년 8월 1일 - 2시,104
2013년 8월 1일 - 3시,99
2013년 8월 1일 - 4시,504
2013년 8월 1일 - 5시,132
2013년 8월 1일 - 6시,111
2013년 8월 1일 - 7시,110
2013년 8월 1일 - 8시,96
2013년 8월 1일 - 9시,102
2013년 8월 1일 - 10시,251
2013년 8월 1일 - 11시,458
2013년 8월 1일 - 12시,113
2013년 8월 1일 - 13시,115
2013년 8월 1일 - 14시,356
2013년 8월 1일 - 15시,98
2013년 8월 1일 - 16시,141
2013년 8월 1일 - 17시,171
2013년 8월 1일 - 18시,103
2013년 8월 1일 - 19시,111
2013년 8월 1일 - 20시,474
2013년 8월 1일 - 21시,147
2013년 8월 1일 - 22시,478
2013년 8월 1일 - 23시,433
2013년 8월 2일 - 0시,135
2013년 8월 2일 - 1시,251
2013년 8월 2일 - 2시,152
2013년 8월 2일 - 3시,163
2013년 8월 2일 - 4시,189
2013년 8월 2일 - 5시,189
2013년 8월 2일 - 6시,114
2013년 8월 2일 - 7시,191
2013년 8월 2일 - 8시,135
2013년 8월 2일 - 9시,502
2013년 8월 2일 - 10시,1714
2013년 8월 2일 - 11시,1646
2013년 8월 2일 - 12시,104
2013년 8월 2일 - 13시,98
2013년 8월 2일 - 14시,1705
2013년 8월 2일 - 15시,108
2013년 8월 2일 - 16시,250
2013년 8월 2일 - 17시,142
2013년 8월 2일 - 18시,140
2013년 8월 2일 - 19시,1297
2013년 8월 2일 - 20시,104
2013년 8월 2일 - 21시,190
2013년 8월 2일 - 22시,104
2013년 8월 2일 - 23시,446
2013년 8월 3일 - 0시,115
2013년 8월 3일 - 1시,102
2013년 8월 3일 - 2시,192
2013년 8월 3일 - 3시,1444
2013년 8월 3일 - 4시,569
2013년 8월 3일 - 5시,327
2013년 8월 3일 - 6시,103
2013년 8월 3일 - 7시,255
2013년 8월 3일 - 8시,119
2013년 8월 3일 - 9시,110
2013년 8월 3일 - 10시,493
2013년 8월 3일 - 11시,452
2013년 8월 3일 - 12시,142
2013년 8월 3일 - 13시,141
2013년 8월 3일 - 14시,106
2013년 8월 3일 - 15시,110
2013년 8월 3일 - 16시,102
2013년 8월 3일 - 17시,497
2013년 8월 3일 - 18시,185
2013년 8월 3일 - 19시,113
2013년 8월 3일 - 20시,103
2013년 8월 3일 - 21시,119
2013년 8월 3일 - 22시,1779
2013년 8월 3일 - 23시,98
2013년 8월 4일 - 0시,104
2013년 8월 4일 - 1시,101
2013년 8월 4일 - 2시,330
2013년 8월 4일 - 3시,110
2013년 8월 4일 - 4시,107
2013년 8월 4일 - 5시,1757
2013년 8월 4일 - 6시,481
2013년 8월 4일 - 7시,1861
2013년 8월 4일 - 8시,440
2013년 8월 4일 - 9시,100
2013년 8월 4일 - 10시,101
2013년 8월 4일 - 11시,102
2013년 8월 4일 - 12시,96
2013년 8월 4일 - 13시,498
2013년 8월 4일 - 14시,100
2013년 8월 4일 - 15시,100
2013년 8월 4일 - 16시,606
2013년 8월 4일 - 17시,98
2013년 8월 4일 - 18시,112
2013년 8월 4일 - 19시,101
2013년 8월 4일 - 20시,183
2013년 8월 4일 - 21시,468
2013년 8월 4일 - 22시,326
2013년 8월 4일 - 23시,1316
2013년 8월 5일 - 0시,106
2013년 8월 5일 - 1시,99
2013년 8월 5일 - 2시,1651
2013년 8월 5일 - 3시,251
2013년 8월 5일 - 4시,1810
2013년 8월 5일 - 5시,160
2013년 8월 5일 - 6시,519
2013년 8월 5일 - 7시,176
2013년 8월 5일 - 8시,114
2013년 8월 5일 - 9시,113
2013년 8월 5일 - 10시,169
2013년 8월 5일 - 11시,103
2013년 8월 5일 - 12시,1616
2013년 8월 5일 - 13시,111
2013년 8월 5일 - 14시,101
2013년 8월 5일 - 15시,216
2013년 8월 5일 - 16시,182
2013년 8월 5일 - 17시,118
2013년 8월 5일 - 18시,265
2013년 8월 5일 - 19시,187
2013년 8월 5일 - 20시,139
2013년 8월 5일 - 21시,477
2013년 8월 5일 - 22시,109
2013년 8월 5일 - 23시,402
2013년 8월 6일 - 0시,137
2013년 8월 6일 - 1시,456
2013년 8월 6일 - 2시,371
2013년 8월 6일 - 3시,116
2013년 8월 6일 - 4시,145
2013년 8월 6일 - 5시,102
2013년 8월 6일 - 6시,106
2013년 8월 6일 - 7시,133
2013년 8월 6일 - 8시,99
2013년 8월 6일 - 9시,253
2013년 8월 6일 - 10시,194
2013년 8월 6일 - 11시,1716
2013년 8월 6일 - 12시,188
2013년 8월 6일 - 13시,98
2013년 8월 6일 - 14시,186
2013년 8월 6일 - 15시,136
2013년 8월 6일 - 16시,157
2013년 8월 6일 - 17시,197
2013년 8월 6일 - 18시,102
2013년 8월 6일 - 19시,193
2013년 8월 6일 - 20시,185
2013년 8월 6일 - 21시,207
2013년 8월 6일 - 22시,136
2013년 8월 6일 - 23시,250
2013년 8월 7일 - 0시,156
2013년 8월 7일 - 1시,97
2013년 8월 7일 - 2시,100
2013년 8월 7일 - 3시,496
2013년 8월 7일 - 4시,545
2013년 8월 7일 - 5시,140
2013년 8월 7일 - 6시,111
2013년 8월 7일 - 7시,130
2013년 8월 7일 - 8시,248
2013년 8월 7일 - 9시,103
2013년 8월 7일 - 10시,95
2013년 8월 7일 - 11시,110
2013년 8월 7일 - 12시,110
2013년 8월 7일 - 13시,99
2013년 8월 7일 - 14시,252
2013년 8월 7일 - 15시,99
2013년 8월 7일 - 16시,113
2013년 8월 7일 - 17시,350
2013년 8월 7일 - 18시,112
2013년 8월 7일 - 19시,112
2013년 8월 7일 - 20시,97
2013년 8월 7일 - 21시,103
2013년 8월 7일 - 22시,109
2013년 8월 7일 - 23시,120
2013년 8월 8일 - 0시,96
2013년 8월 8일 - 1시,103
2013년 8월 8일 - 2시,98
2013년 8월 8일 - 3시,95
2013년 8월 8일 - 4시,496
2013년 8월 8일 - 5시,250
2013년 8월 8일 - 6시,168
2013년 8월 8일 - 7시,1472
2013년 8월 8일 - 8시,108
2013년 8월 8일 - 9시,103
2013년 8월 8일 - 10시,132
2013년 8월 8일 - 11시,1725
2013년 8월 8일 - 12시,186
2013년 8월 8일 - 13시,103
