,DateTime,Day,Holiday,Seq,Watt
0,2015-3-1,일,1,0,333
1,2015-3-1,일,1,1,231
2,2015-3-1,일,1,2,239
3,2015-3-1,일,1,3,813
4,2015-3-1,일,1,4,236
5,2015-3-1,일,1,5,299
6,2015-3-1,일,1,6,380
7,2015-3-1,일,1,7,2919
8,2015-3-1,일,1,8,2010
9,2015-3-1,일,1,9,1888
10,2015-3-1,일,1,10,4793
11,2015-3-1,일,1,11,2325
12,2015-3-1,일,1,12,2915
13,2015-3-1,일,1,13,1861
14,2015-3-1,일,1,14,288
15,2015-3-1,일,1,15,414
16,2015-3-1,일,1,16,240
17,2015-3-1,일,1,17,2077
18,2015-3-1,일,1,18,4603
19,2015-3-1,일,1,19,2880
20,2015-3-1,일,1,20,941
21,2015-3-1,일,1,21,716
22,2015-3-1,일,1,22,2885
23,2015-3-1,일,1,23,2583
24,2015-3-2,월,0,0,251
25,2015-3-2,월,0,1,241
26,2015-3-2,월,0,2,1424
27,2015-3-2,월,0,3,1962
28,2015-3-2,월,0,4,331
29,2015-3-2,월,0,5,249
30,2015-3-2,월,0,6,339
31,2015-3-2,월,0,7,4905
32,2015-3-2,월,0,8,2820
33,2015-3-2,월,0,9,3316
34,2015-3-2,월,0,10,856
35,2015-3-2,월,0,11,2892
36,2015-3-2,월,0,12,2379
37,2015-3-2,월,0,13,409
38,2015-3-2,월,0,14,2845
39,2015-3-2,월,0,15,309
40,2015-3-2,월,0,16,326
41,2015-3-2,월,0,17,2912
42,2015-3-2,월,0,18,4579
43,2015-3-2,월,0,19,2588
44,2015-3-2,월,0,20,962
45,2015-3-2,월,0,21,717
46,2015-3-2,월,0,22,464
47,2015-3-2,월,0,23,475
48,2015-3-3,화,0,0,328
49,2015-3-3,화,0,1,348
50,2015-3-3,화,0,2,648
51,2015-3-3,화,0,3,476
52,2015-3-3,화,0,4,361
53,2015-3-3,화,0,5,336
54,2015-3-3,화,0,6,421
55,2015-3-3,화,0,7,4684
56,2015-3-3,화,0,8,2031
57,2015-3-3,화,0,9,2976
58,2015-3-3,화,0,10,2956
59,2015-3-3,화,0,11,1896
60,2015-3-3,화,0,12,4699
61,2015-3-3,화,0,13,468
62,2015-3-3,화,0,14,1932
63,2015-3-3,화,0,15,1988
64,2015-3-3,화,0,16,2880
65,2015-3-3,화,0,17,4583
66,2015-3-3,화,0,18,3316
67,2015-3-3,화,0,19,724
68,2015-3-3,화,0,20,783
69,2015-3-3,화,0,21,627
70,2015-3-3,화,0,22,609
71,2015-3-3,화,0,23,245
72,2015-3-4,수,0,0,812
73,2015-3-4,수,0,1,302
74,2015-3-4,수,0,2,479
75,2015-3-4,수,0,3,294
76,2015-3-4,수,0,4,240
77,2015-3-4,수,0,5,242
78,2015-3-4,수,0,6,319
79,2015-3-4,수,0,7,2010
80,2015-3-4,수,0,8,4605
81,2015-3-4,수,0,9,1961
82,2015-3-4,수,0,10,287
83,2015-3-4,수,0,11,282
84,2015-3-4,수,0,12,3521
85,2015-3-4,수,0,13,3417
86,2015-3-4,수,0,14,1948
87,2015-3-4,수,0,15,2658
88,2015-3-4,수,0,16,2963
89,2015-3-4,수,0,17,2937
90,2015-3-4,수,0,18,2454
91,2015-3-4,수,0,19,2054
92,2015-3-4,수,0,20,5400
93,2015-3-4,수,0,21,1966
94,2015-3-4,수,0,22,2512
95,2015-3-4,수,0,23,1402
96,2015-3-5,목,0,0,256
97,2015-3-5,목,0,1,328
98,2015-3-5,목,0,2,258
99,2015-3-5,목,0,3,278
100,2015-3-5,목,0,4,282
101,2015-3-5,목,0,5,327
102,2015-3-5,목,0,6,254
103,2015-3-5,목,0,7,4798
104,2015-3-5,목,0,8,4788
105,2015-3-5,목,0,9,1989
106,2015-3-5,목,0,10,2888
107,2015-3-5,목,0,11,2435
108,2015-3-5,목,0,12,2925
109,2015-3-5,목,0,13,5395
110,2015-3-5,목,0,14,5151
111,2015-3-5,목,0,15,1789
112,2015-3-5,목,0,16,2700
113,2015-3-5,목,0,17,637
114,2015-3-5,목,0,18,2116
115,2015-3-5,목,0,19,6627
116,2015-3-5,목,0,20,1953
117,2015-3-5,목,0,21,3269
118,2015-3-5,목,0,22,566
