,DateTime,Day,Holiday,Seq,Watt,Temp
0,20130101,화,0,0,2495,10.0
1,20130101,화,0,1,2482,9.0
2,20130101,화,0,2,2441,8.5
3,20130101,화,0,3,265,8.0
4,20130101,화,0,4,260,8.0
5,20130101,화,0,5,260,7.0
6,20130101,화,0,6,326,6.0
7,20130101,화,0,7,372,5.5
8,20130101,화,0,8,4444,5.0
9,20130101,화,0,9,2691,5.0
10,20130101,화,0,10,2558,5.5
11,20130101,화,0,11,779,6.5
12,20130101,화,0,12,2961,7.0
13,20130101,화,0,13,529,7.5
14,20130101,화,0,14,3032,7.5
15,20130101,화,0,15,2869,7.0
16,20130101,화,0,16,354,6.5
17,20130101,화,0,17,2297,6.0
18,20130101,화,0,18,2184,6.0
19,20130101,화,0,19,2981,6.0
20,20130101,화,0,20,729,6.0
21,20130101,화,0,21,2122,6.0
22,20130101,화,0,22,543,5.5
23,20130101,화,0,23,572,5.0
24,20130102,수,0,0,1913,5.0
25,20130102,수,0,1,240,5.0
26,20130102,수,0,2,231,4.0
27,20130102,수,0,3,307,4.0
28,20130102,수,0,4,328,4.0
29,20130102,수,0,5,238,4.0
30,20130102,수,0,6,1080,4.0
31,20130102,수,0,7,345,5.0
32,20130102,수,0,8,2728,5.0
33,20130102,수,0,9,551,6.0
34,20130102,수,0,10,569,6.0
35,20130102,수,0,11,3304,7.0
36,20130102,수,0,12,2945,7.5
37,20130102,수,0,13,2911,8.0
38,20130102,수,0,14,3145,7.5
39,20130102,수,0,15,1109,8.0
40,20130102,수,0,16,3083,8.0
41,20130102,수,0,17,726,9.0
42,20130102,수,0,18,2214,9.5
43,20130102,수,0,19,778,10.0
44,20130102,수,0,20,951,10.0
45,20130102,수,0,21,917,11.0
46,20130102,수,0,22,710,11.0
47,20130102,수,0,23,326,10.5
48,20130103,목,0,0,422,10.5
49,20130103,목,0,1,959,10.0
50,20130103,목,0,2,796,10.0
51,20130103,목,0,3,306,10.0
52,20130103,목,0,4,455,10.0
53,20130103,목,0,5,366,10.0
54,20130103,목,0,6,409,10.0
55,20130103,목,0,7,3179,9.5
56,20130103,목,0,8,4573,10.0
57,20130103,목,0,9,919,10.0
58,20130103,목,0,10,618,10.5
59,20130103,목,0,11,828,10.0
60,20130103,목,0,12,981,10.5
61,20130103,목,0,13,3373,11.0
62,20130103,목,0,14,2833,11.5
63,20130103,목,0,15,2772,11.0
64,20130103,목,0,16,2885,11.0
65,20130103,목,0,17,986,11.0
66,20130103,목,0,18,4001,11.0
67,20130103,목,0,19,846,11.0
68,20130103,목,0,20,816,11.0
69,20130103,목,0,21,2449,11.0
70,20130103,목,0,22,587,11.0
71,20130103,목,0,23,772,11.0
72,20130104,금,0,0,333,11.0
73,20130104,금,0,1,1235,10.0
74,20130104,금,0,2,960,10.0
75,20130104,금,0,3,312,10.0
76,20130104,금,0,4,311,10.0
77,20130104,금,0,5,306,9.5
78,20130104,금,0,6,374,10.0
79,20130104,금,0,7,4354,9.5
80,20130104,금,0,8,871,9.0
81,20130104,금,0,9,726,9.5
82,20130104,금,0,10,2516,9.5
83,20130104,금,0,11,2089,9.5
84,20130104,금,0,12,2448,10.0
85,20130104,금,0,13,673,10.0
86,20130104,금,0,14,718,10.0
87,20130104,금,0,15,347,10.0
88,20130104,금,0,16,2817,10.0
89,20130104,금,0,17,768,10.0
90,20130104,금,0,18,4651,10.0
91,20130104,금,0,19,2905,10.0
92,20130104,금,0,20,3423,9.5
93,20130104,금,0,21,943,9.0
94,20130104,금,0,22,524,9.0
95,20130104,금,0,23,247,8.5
96,20130105,토,1,0,379,8.0
97,20130105,토,1,1,297,8.0
98,20130105,토,1,2,1108,8.0
99,20130105,토,1,3,237,8.0
100,20130105,토,1,4,242,8.0
101,20130105,토,1,5,237,8.0
102,20130105,토,1,6,318,8.0
103,20130105,토,1,7,2702,8.5
104,20130105,토,1,8,2734,9.0
105,20130105,토,1,9,2744,9.0
106,20130105,토,1,10,2562,9.0
107,20130105,토,1,11,969,10.0
108,20130105,토,1,12,2705,10.5
109,20130105,토,1,13,2790,11.0
110,20130105,토,1,14,1045,10.0
111,20130105,토,1,15,4526,10.0
112,20130105,토,1,16,716,10.0
113,20130105,토,1,17,3111,10.0
114,20130105,토,1,18,2464,10.0
115,20130105,토,1,19,2789,10.0
116,20130105,토,1,20,868,10.0
117,20130105,토,1,21,554,9.0
118,20130105,토,1,22,577,9.0
119,20130105,토,1,23,2467,8.0
120,20130106,일,1,0,2521,8.0
121,20130106,일,1,1,2015,8.0
122,20130106,일,1,2,397,8.0
123,20130106,일,1,3,334,8.0
124,20130106,일,1,4,325,8.0
125,20130106,일,1,5,318,7.0
126,20130106,일,1,6,471,7.0
127,20130106,일,1,7,2752,7.0
128,20130106,일,1,8,3711,7.0
129,20130106,일,1,9,475,7.5
130,20130106,일,1,10,338,8.0
131,20130106,일,1,11,4537,8.0
132,20130106,일,1,12,2907,8.0
133,20130106,일,1,13,2578,8.0
134,20130106,일,1,14,1743,7.5
135,20130106,일,1,15,2041,7.0
136,20130106,일,1,16,371,7.0
137,20130106,일,1,17,2894,7.0
138,20130106,일,1,18,3007,7.5
139,20130106,일,1,19,3062,8.0
140,20130106,일,1,20,2038,8.5
141,20130106,일,1,21,694,9.0
142,20130106,일,1,22,255,9.0
143,20130106,일,1,23,288,8.0
144,20130107,월,0,0,1068,8.0
145,20130107,월,0,1,239,8.0
146,20130107,월,0,2,238,8.0
147,20130107,월,0,3,519,8.0
148,20130107,월,0,4,237,7.0
149,20130107,월,0,5,250,7.0
150,20130107,월,0,6,298,7.0
151,20130107,월,0,7,2703,7.0
152,20130107,월,0,8,3500,7.0
153,20130107,월,0,9,419,8.0
154,20130107,월,0,10,995,8.0
155,20130107,월,0,11,3347,8.0
156,20130107,월,0,12,3276,8.0
157,20130107,월,0,13,276,8.5
158,20130107,월,0,14,1085,9.0
159,20130107,월,0,15,376,9.0
160,20130107,월,0,16,2871,8.0
161,20130107,월,0,17,2899,8.0
162,20130107,월,0,18,3897,8.0
163,20130107,월,0,19,707,8.5
164,20130107,월,0,20,2299,9.0
165,20130107,월,0,21,726,9.0
166,20130107,월,0,22,628,9.0
167,20130107,월,0,23,314,9.0
168,20130108,화,0,0,248,9.0
169,20130108,화,0,1,241,9.0
170,20130108,화,0,2,382,9.0
171,20130108,화,0,3,279,9.5
172,20130108,화,0,4,241,10.0
173,20130108,화,0,5,486,10.0
174,20130108,화,0,6,366,10.0
175,20130108,화,0,7,2943,10.0
176,20130108,화,0,8,694,9.0
177,20130108,화,0,9,381,9.0
178,20130108,화,0,10,478,10.0
179,20130108,화,0,11,3609,10.5
180,20130108,화,0,12,570,11.0
181,20130108,화,0,13,276,11.0
182,20130108,화,0,14,1085,11.0
183,20130108,화,0,15,242,11.0
184,20130108,화,0,16,2894,11.0
185,20130108,화,0,17,2326,11.0
186,20130108,화,0,18,4783,10.5
187,20130108,화,0,19,1018,10.0
188,20130108,화,0,20,3318,10.0
189,20130108,화,0,21,1948,9.5
190,20130108,화,0,22,4371,9.0
191,20130108,화,0,23,2472,9.0
192,20130109,수,0,0,239,9.0
193,20130109,수,0,1,737,9.0
194,20130109,수,0,2,242,9.0
195,20130109,수,0,3,300,9.0
196,20130109,수,0,4,241,9.0
197,20130109,수,0,5,250,9.0
198,20130109,수,0,6,306,9.0
199,20130109,수,0,7,5840,8.5
200,20130109,수,0,8,893,8.0
201,20130109,수,0,9,2202,8.0
202,20130109,수,0,10,386,8.0
203,20130109,수,0,11,1801,8.0
204,20130109,수,0,12,1754,8.0
205,20130109,수,0,13,365,8.0
206,20130109,수,0,14,2967,8.0
207,20130109,수,0,15,2928,8.0
208,20130109,수,0,16,539,7.5
209,20130109,수,0,17,2373,6.5
210,20130109,수,0,18,2391,6.0
211,20130109,수,0,19,4564,5.0
212,20130109,수,0,20,4610,4.5
213,20130109,수,0,21,1729,4.0
214,20130109,수,0,22,640,3.0
215,20130109,수,0,23,334,3.0
216,20130110,목,0,0,330,2.5
217,20130110,목,0,1,643,2.5
218,20130110,목,0,2,290,2.0
219,20130110,목,0,3,365,2.0
220,20130110,목,0,4,250,2.0
221,20130110,목,0,5,260,1.5
