,DateTime,Graph_Date,Day,Holiday,Seq,Watt,Temp('C),Humidity(%),CPI
0,20151001,2015-10-01,목,0,0,235,12.0,88.0,-0.1
1,20151001,2015-10-01,목,0,1,236,12.0,88.0,-0.1
2,20151001,2015-10-01,목,0,2,379,12.0,82.0,-0.1
3,20151001,2015-10-01,목,0,3,281,12.0,82.0,-0.1
4,20151001,2015-10-01,목,0,4,238,11.0,88.0,-0.1
5,20151001,2015-10-01,목,0,5,312,11.0,88.0,-0.1
6,20151001,2015-10-01,목,0,6,4626,11.0,88.0,-0.1
7,20151001,2015-10-01,목,0,7,3136,11.5,85.0,-0.1
8,20151001,2015-10-01,목,0,8,484,13.0,77.0,-0.1
9,20151001,2015-10-01,목,0,9,2734,15.5,70.0,-0.1
10,20151001,2015-10-01,목,0,10,3042,16.0,59.0,-0.1
11,20151001,2015-10-01,목,0,11,2830,17.0,55.0,-0.1
12,20151001,2015-10-01,목,0,12,3063,17.0,55.0,-0.1
13,20151001,2015-10-01,목,0,13,4512,17.0,55.0,-0.1
14,20151001,2015-10-01,목,0,14,435,18.0,52.0,-0.1
15,20151001,2015-10-01,목,0,15,3015,18.0,54.0,-0.1
16,20151001,2015-10-01,목,0,16,955,17.5,55.5,-0.1
17,20151001,2015-10-01,목,0,17,2461,16.5,59.0,-0.1
18,20151001,2015-10-01,목,0,18,2146,15.5,61.0,-0.1
19,20151001,2015-10-01,목,0,19,618,14.5,67.5,-0.1
20,20151001,2015-10-01,목,0,20,521,14.0,72.0,-0.1
21,20151001,2015-10-01,목,0,21,446,14.0,77.0,-0.1
22,20151001,2015-10-01,목,0,22,317,13.0,82.0,-0.1
23,20151001,2015-10-01,목,0,23,313,13.0,82.0,-0.1
24,20151002,2015-10-02,금,0,0,316,12.5,85.0,-0.1
25,20151002,2015-10-02,금,0,1,307,12.0,88.0,-0.1
26,20151002,2015-10-02,금,0,2,301,11.0,88.0,-0.1
27,20151002,2015-10-02,금,0,3,308,11.0,88.0,-0.1
28,20151002,2015-10-02,금,0,4,313,11.0,88.0,-0.1
29,20151002,2015-10-02,금,0,5,370,10.0,87.0,-0.1
30,20151002,2015-10-02,금,0,6,4590,9.0,93.0,-0.1
31,20151002,2015-10-02,금,0,7,4834,10.0,90.5,-0.1
32,20151002,2015-10-02,금,0,8,493,12.5,79.5,-0.1
33,20151002,2015-10-02,금,0,9,2981,14.5,69.5,-0.1
34,20151002,2015-10-02,금,0,10,3879,16.0,63.0,-0.1
35,20151002,2015-10-02,금,0,11,4654,16.5,59.0,-0.1
36,20151002,2015-10-02,금,0,12,447,17.0,55.0,-0.1
37,20151002,2015-10-02,금,0,13,467,18.0,54.0,-0.1
38,20151002,2015-10-02,금,0,14,3130,18.0,50.5,-0.1
39,20151002,2015-10-02,금,0,15,2907,18.0,49.0,-0.1
40,20151002,2015-10-02,금,0,16,1997,17.0,53.5,-0.1
41,20151002,2015-10-02,금,0,17,513,16.0,59.0,-0.1
42,20151002,2015-10-02,금,0,18,1949,14.5,65.0,-0.1
43,20151002,2015-10-02,금,0,19,2296,13.0,74.5,-0.1
44,20151002,2015-10-02,금,0,20,505,13.0,77.0,-0.1
45,20151002,2015-10-02,금,0,21,508,12.5,79.5,-0.1
46,20151002,2015-10-02,금,0,22,424,12.5,79.5,-0.1
47,20151002,2015-10-02,금,0,23,308,13.0,77.0,-0.1
48,20151003,2015-10-03,토,1,0,317,12.0,82.0,-0.1
49,20151003,2015-10-03,토,1,1,235,11.5,85.0,-0.1
50,20151003,2015-10-03,토,1,2,238,10.5,87.5,-0.1
51,20151003,2015-10-03,토,1,3,232,10.5,91.0,-0.1
52,20151003,2015-10-03,토,1,4,243,10.5,87.5,-0.1
53,20151003,2015-10-03,토,1,5,241,11.0,88.0,-0.1
54,20151003,2015-10-03,토,1,6,4678,11.0,88.0,-0.1
55,20151003,2015-10-03,토,1,7,2815,11.0,88.0,-0.1
56,20151003,2015-10-03,토,1,8,3737,11.0,94.0,-0.1
57,20151003,2015-10-03,토,1,9,2607,10.5,97.0,-0.1
58,20151003,2015-10-03,토,1,10,283,11.5,91.0,-0.1
59,20151003,2015-10-03,토,1,11,2668,12.5,88.0,-0.1
60,20151003,2015-10-03,토,1,12,2664,14.0,82.0,-0.1
61,20151003,2015-10-03,토,1,13,533,14.5,77.0,-0.1
62,20151003,2015-10-03,토,1,14,286,16.5,65.5,-0.1
63,20151003,2015-10-03,토,1,15,871,16.0,63.0,-0.1
64,20151003,2015-10-03,토,1,16,312,15.5,65.0,-0.1
65,20151003,2015-10-03,토,1,17,2095,15.5,67.5,-0.1
66,20151003,2015-10-03,토,1,18,3180,15.0,67.0,-0.1
67,20151003,2015-10-03,토,1,19,3039,14.0,72.0,-0.1
68,20151003,2015-10-03,토,1,20,518,13.0,77.0,-0.1
69,20151003,2015-10-03,토,1,21,2918,12.5,79.5,-0.1
70,20151003,2015-10-03,토,1,22,544,12.0,82.0,-0.1
71,20151003,2015-10-03,토,1,23,3019,12.0,82.0,-0.1
72,20151004,2015-10-04,일,1,0,498,11.5,82.0,-0.1
73,20151004,2015-10-04,일,1,1,491,11.0,85.0,-0.1
74,20151004,2015-10-04,일,1,2,245,10.0,87.0,-0.1
75,20151004,2015-10-04,일,1,3,239,9.5,87.0,-0.1
76,20151004,2015-10-04,일,1,4,388,9.0,87.0,-0.1
77,20151004,2015-10-04,일,1,5,241,10.0,82.0,-0.1
78,20151004,2015-10-04,일,1,6,234,9.0,87.0,-0.1
79,20151004,2015-10-04,일,1,7,2657,10.0,82.0,-0.1
80,20151004,2015-10-04,일,1,8,539,11.5,74.0,-0.1
81,20151004,2015-10-04,일,1,9,506,13.5,65.0,-0.1
82,20151004,2015-10-04,일,1,10,2050,15.0,63.0,-0.1
83,20151004,2015-10-04,일,1,11,4032,16.0,59.0,-0.1
84,20151004,2015-10-04,일,1,12,505,17.0,55.0,-0.1
85,20151004,2015-10-04,일,1,13,2991,17.5,53.5,-0.1
86,20151004,2015-10-04,일,1,14,2887,18.0,52.0,-0.1
87,20151004,2015-10-04,일,1,15,912,18.0,52.0,-0.1
88,20151004,2015-10-04,일,1,16,3045,17.0,59.0,-0.1
89,20151004,2015-10-04,일,1,17,2142,16.0,65.5,-0.1
90,20151004,2015-10-04,일,1,18,842,15.0,69.5,-0.1
91,20151004,2015-10-04,일,1,19,2219,14.0,77.0,-0.1
92,20151004,2015-10-04,일,1,20,544,13.0,82.0,-0.1
93,20151004,2015-10-04,일,1,21,2851,13.0,77.0,-0.1
94,20151004,2015-10-04,일,1,22,2635,13.0,79.5,-0.1
95,20151004,2015-10-04,일,1,23,312,13.0,82.0,-0.1
96,20151005,2015-10-05,월,0,0,308,13.0,85.0,-0.1
97,20151005,2015-10-05,월,0,1,308,13.5,85.0,-0.1
98,20151005,2015-10-05,월,0,2,310,14.0,82.0,-0.1
99,20151005,2015-10-05,월,0,3,307,14.0,85.0,-0.1
100,20151005,2015-10-05,월,0,4,315,15.0,82.0,-0.1
101,20151005,2015-10-05,월,0,5,376,14.5,85.0,-0.1
102,20151005,2015-10-05,월,0,6,2675,14.0,94.0,-0.1
103,20151005,2015-10-05,월,0,7,2711,15.0,88.0,-0.1
104,20151005,2015-10-05,월,0,8,483,15.5,88.0,-0.1
105,20151005,2015-10-05,월,0,9,486,16.0,88.0,-0.1
106,20151005,2015-10-05,월,0,10,2722,17.0,88.0,-0.1
107,20151005,2015-10-05,월,0,11,2860,17.0,88.0,-0.1
108,20151005,2015-10-05,월,0,12,488,18.0,83.0,-0.1
109,20151005,2015-10-05,월,0,13,427,18.0,85.5,-0.1
110,20151005,2015-10-05,월,0,14,868,17.5,91.0,-0.1
111,20151005,2015-10-05,월,0,15,2999,18.0,88.0,-0.1
112,20151005,2015-10-05,월,0,16,586,18.0,88.0,-0.1
