,DateTime,Graph_Date,Day,Holiday,Seq,Watt,Temp,CPI
0,20130101,2013-01-01,화,1,0,2495,10.0,2.7
1,20130101,2013-01-01,화,1,1,2482,9.0,2.7
2,20130101,2013-01-01,화,1,2,2441,8.5,2.7
3,20130101,2013-01-01,화,1,3,265,8.0,2.7
4,20130101,2013-01-01,화,1,4,260,8.0,2.7
5,20130101,2013-01-01,화,1,5,260,7.0,2.7
6,20130101,2013-01-01,화,1,6,326,6.0,2.7
7,20130101,2013-01-01,화,1,7,372,5.5,2.7
8,20130101,2013-01-01,화,1,8,4444,5.0,2.7
9,20130101,2013-01-01,화,1,9,2691,5.0,2.7
10,20130101,2013-01-01,화,1,10,2558,5.5,2.7
11,20130101,2013-01-01,화,1,11,779,6.5,2.7
12,20130101,2013-01-01,화,1,12,2961,7.0,2.7
13,20130101,2013-01-01,화,1,13,529,7.5,2.7
14,20130101,2013-01-01,화,1,14,3032,7.5,2.7
15,20130101,2013-01-01,화,1,15,2869,7.0,2.7
16,20130101,2013-01-01,화,1,16,354,6.5,2.7
17,20130101,2013-01-01,화,1,17,2297,6.0,2.7
18,20130101,2013-01-01,화,1,18,2184,6.0,2.7
19,20130101,2013-01-01,화,1,19,2981,6.0,2.7
20,20130101,2013-01-01,화,1,20,729,6.0,2.7
21,20130101,2013-01-01,화,1,21,2122,6.0,2.7
22,20130101,2013-01-01,화,1,22,543,5.5,2.7
23,20130101,2013-01-01,화,1,23,572,5.0,2.7
24,20130102,2013-01-02,수,0,0,1913,5.0,2.7
25,20130102,2013-01-02,수,0,1,240,5.0,2.7
26,20130102,2013-01-02,수,0,2,231,4.0,2.7
27,20130102,2013-01-02,수,0,3,307,4.0,2.7
28,20130102,2013-01-02,수,0,4,328,4.0,2.7
29,20130102,2013-01-02,수,0,5,238,4.0,2.7
30,20130102,2013-01-02,수,0,6,1080,4.0,2.7
31,20130102,2013-01-02,수,0,7,345,5.0,2.7
32,20130102,2013-01-02,수,0,8,2728,5.0,2.7
33,20130102,2013-01-02,수,0,9,551,6.0,2.7
34,20130102,2013-01-02,수,0,10,569,6.0,2.7
35,20130102,2013-01-02,수,0,11,3304,7.0,2.7
36,20130102,2013-01-02,수,0,12,2945,7.5,2.7
37,20130102,2013-01-02,수,0,13,2911,8.0,2.7
38,20130102,2013-01-02,수,0,14,3145,7.5,2.7
39,20130102,2013-01-02,수,0,15,1109,8.0,2.7
40,20130102,2013-01-02,수,0,16,3083,8.0,2.7
41,20130102,2013-01-02,수,0,17,726,9.0,2.7
42,20130102,2013-01-02,수,0,18,2214,9.5,2.7
43,20130102,2013-01-02,수,0,19,778,10.0,2.7
44,20130102,2013-01-02,수,0,20,951,10.0,2.7
45,20130102,2013-01-02,수,0,21,917,11.0,2.7
46,20130102,2013-01-02,수,0,22,710,11.0,2.7
47,20130102,2013-01-02,수,0,23,326,10.5,2.7
48,20130103,2013-01-03,목,0,0,422,10.5,2.7
49,20130103,2013-01-03,목,0,1,959,10.0,2.7
50,20130103,2013-01-03,목,0,2,796,10.0,2.7
51,20130103,2013-01-03,목,0,3,306,10.0,2.7
52,20130103,2013-01-03,목,0,4,455,10.0,2.7
53,20130103,2013-01-03,목,0,5,366,10.0,2.7
54,20130103,2013-01-03,목,0,6,409,10.0,2.7
55,20130103,2013-01-03,목,0,7,3179,9.5,2.7
56,20130103,2013-01-03,목,0,8,4573,10.0,2.7
57,20130103,2013-01-03,목,0,9,919,10.0,2.7
58,20130103,2013-01-03,목,0,10,618,10.5,2.7
59,20130103,2013-01-03,목,0,11,828,10.0,2.7
60,20130103,2013-01-03,목,0,12,981,10.5,2.7
61,20130103,2013-01-03,목,0,13,3373,11.0,2.7
62,20130103,2013-01-03,목,0,14,2833,11.5,2.7
63,20130103,2013-01-03,목,0,15,2772,11.0,2.7
64,20130103,2013-01-03,목,0,16,2885,11.0,2.7
65,20130103,2013-01-03,목,0,17,986,11.0,2.7
66,20130103,2013-01-03,목,0,18,4001,11.0,2.7
67,20130103,2013-01-03,목,0,19,846,11.0,2.7
68,20130103,2013-01-03,목,0,20,816,11.0,2.7
69,20130103,2013-01-03,목,0,21,2449,11.0,2.7
70,20130103,2013-01-03,목,0,22,587,11.0,2.7
71,20130103,2013-01-03,목,0,23,772,11.0,2.7
72,20130104,2013-01-04,금,0,0,333,11.0,2.7
73,20130104,2013-01-04,금,0,1,1235,10.0,2.7
74,20130104,2013-01-04,금,0,2,960,10.0,2.7
75,20130104,2013-01-04,금,0,3,312,10.0,2.7
76,20130104,2013-01-04,금,0,4,311,10.0,2.7
77,20130104,2013-01-04,금,0,5,306,9.5,2.7
78,20130104,2013-01-04,금,0,6,374,10.0,2.7
79,20130104,2013-01-04,금,0,7,4354,9.5,2.7
80,20130104,2013-01-04,금,0,8,871,9.0,2.7
81,20130104,2013-01-04,금,0,9,726,9.5,2.7
82,20130104,2013-01-04,금,0,10,2516,9.5,2.7
83,20130104,2013-01-04,금,0,11,2089,9.5,2.7
84,20130104,2013-01-04,금,0,12,2448,10.0,2.7
85,20130104,2013-01-04,금,0,13,673,10.0,2.7
